DATE,TIME (GMT),LAT. (N),LONG. (E),DEPTH (km),MAGNITUDE (Local)
2022 JAN  1,00 44 59.3,35.1732,25.3047,6,1.0
2022 JAN  1,00 45 57.8,35.1077,25.2090,12,1.2
2022 JAN  1,01 10 41.6,38.3437,22.0345,9,0.9
2022 JAN  1,02 42 36.9,37.8625,23.0164,12,1.9
2022 JAN  1,02 49 01.2,36.6385,21.4590,12,2.2
2022 JAN  1,03 28 57.7,36.4517,21.7960,6,1.9
2022 JAN  1,03 42 03.9,37.3114,20.5389,12,2.0
2022 JAN  1,03 47 45.9,35.1787,25.3276,5,0.9
2022 JAN  1,03 52 10.4,39.4972,20.6703,9,2.2
2022 JAN  1,03 52 47.6,35.6168,27.2562,14,2.8
2022 JAN  1,04 14 17.4,35.1448,25.3157,13,1.6
2022 JAN  1,04 30 14.9,35.1759,25.3139,7,2.4
2022 JAN  1,04 54 21.8,38.3611,22.2972,12,1.7
2022 JAN  1,05 22 49.7,38.2814,23.3693,14,1.1
2022 JAN  1,05 22 56.3,35.1494,25.2534,12,1.0
2022 JAN  1,05 45 58.4,37.3407,20.6085,12,2.7
2022 JAN  1,06 49 55.3,38.3194,21.8417,9,1.2
2022 JAN  1,07 02 01.0,35.1572,25.2109,10,1.1
2022 JAN  1,07 26 03.8,34.9864,25.1436,11,2.0
2022 JAN  1,08 02 36.0,37.8433,27.0218,13,2.9
2022 JAN  1,08 40 31.9,38.3066,21.8253,7,0.6
2022 JAN  1,09 08 02.4,39.7929,22.0445,15,1.4
2022 JAN  1,09 35 02.2,35.1411,25.2086,12,1.1
2022 JAN  1,09 51 21.1,36.6083,26.4716,130,3.0
2022 JAN  1,09 57 33.6,36.1176,27.5116,6,2.6
2022 JAN  1,10 27 59.0,39.5966,20.5280,9,2.4
2022 JAN  1,10 55 29.0,38.3125,21.8221,11,1.9
2022 JAN  1,11 13 15.8,35.1695,25.3056,6,2.0
2022 JAN  1,11 20 42.3,38.3089,21.8294,8,0.9
2022 JAN  1,11 47 53.9,35.0972,25.3038,7,1.1
2022 JAN  1,12 00 47.6,34.4632,26.4615,15,2.6
2022 JAN  1,12 07 53.2,34.8212,23.3514,28,2.8
2022 JAN  1,12 28 51.1,34.4879,26.4752,13,2.9
2022 JAN  1,12 35 41.5,35.1530,25.2077,11,1.8
2022 JAN  1,12 37 43.4,38.3194,21.8362,9,0.8
2022 JAN  1,12 47 43.2,38.4096,22.0967,6,0.9
2022 JAN  1,12 50 40.1,39.7476,22.0578,12,1.6
2022 JAN  1,12 52 10.8,39.7458,22.0377,10,2.1
2022 JAN  1,12 53 19.4,38.3162,21.8440,7,2.3
2022 JAN  1,13 01 55.8,38.3638,21.7387,12,3.3
2022 JAN  1,13 06 22.1,38.3185,21.8353,9,1.9
2022 JAN  1,14 20 14.1,39.7018,22.2025,15,1.7
2022 JAN  1,14 25 03.4,38.2887,21.8513,7,0.7
2022 JAN  1,15 33 29.6,35.1759,25.2113,12,1.5
2022 JAN  1,15 59 02.7,38.1546,24.1946,16,1.0
2022 JAN  1,15 59 35.3,35.1961,25.2434,12,1.0
2022 JAN  1,16 31 00.6,35.2011,25.3885,11,1.1
2022 JAN  1,17 14 09.9,35.1576,25.1866,13,1.7
2022 JAN  1,18 39 02.1,38.3363,22.1086,13,1.4
2022 JAN  1,20 02 23.6,38.3107,21.8367,6,1.4
2022 JAN  1,20 04 45.6,38.3180,21.8312,7,1.3
2022 JAN  1,20 33 55.8,39.4345,24.0134,17,2.3
2022 JAN  1,20 59 11.3,36.7548,21.6522,17,2.9
2022 JAN  1,21 06 16.7,35.0070,23.4988,26,2.2
2022 JAN  1,21 30 49.4,35.1201,25.2397,14,1.5
2022 JAN  1,21 46 55.2,38.2745,22.2382,12,1.2
2022 JAN  1,22 39 21.7,35.2052,25.3203,8,1.1
2022 JAN  1,23 08 45.4,35.1567,25.2242,9,1.6
2022 JAN  1,23 29 52.9,35.1622,25.2342,12,2.1
2022 JAN  1,23 33 44.0,35.1549,25.2397,13,1.8
2022 JAN  2,00 03 38.6,39.3489,20.5852,19,1.8
2022 JAN  2,00 06 26.4,35.1224,25.2109,12,1.2
2022 JAN  2,00 07 36.4,38.3546,21.7653,15,3.1
2022 JAN  2,00 21 09.0,35.1096,25.2164,12,1.6
2022 JAN  2,00 23 06.7,39.4400,24.0262,23,2.0
2022 JAN  2,00 26 38.1,36.4865,21.8234,12,2.2
2022 JAN  2,00 32 44.3,35.1320,25.2654,8,1.3
2022 JAN  2,01 00 43.1,38.8792,22.8731,18,2.1
2022 JAN  2,01 16 20.6,35.0093,25.1656,14,1.2
2022 JAN  2,01 34 03.1,35.1064,25.2040,12,1.0
2022 JAN  2,02 10 14.6,35.1540,25.2278,12,1.3
2022 JAN  2,02 26 46.7,35.1741,25.3047,6,1.3
2022 JAN  2,02 41 16.4,39.4560,24.0147,18,2.6
2022 JAN  2,03 00 34.5,38.1583,22.7811,35,1.3
2022 JAN  2,03 20 59.5,37.8145,21.2434,26,1.7
2022 JAN  2,03 29 49.9,37.9207,21.8449,26,1.2
2022 JAN  2,03 50 48.1,35.1773,25.3152,8,0.8
2022 JAN  2,03 58 26.7,35.1448,25.2086,10,1.0
2022 JAN  2,04 01 28.6,39.4510,24.0152,22,2.3
2022 JAN  2,05 12 16.7,38.7749,20.5769,17,2.1
2022 JAN  2,05 38 20.8,37.6071,21.6422,15,1.6
2022 JAN  2,05 48 28.1,35.2391,25.3056,12,2.4
2022 JAN  2,06 34 35.8,38.2631,23.4270,6,0.8
2022 JAN  2,06 35 29.0,35.1247,25.2928,12,1.8
2022 JAN  2,06 55 54.7,39.7495,20.5856,11,1.7
2022 JAN  2,08 32 34.7,35.1540,25.2571,8,1.6
2022 JAN  2,09 29 33.6,35.2373,25.3084,11,1.5
2022 JAN  2,10 19 26.5,39.7298,22.1251,10,3.0
2022 JAN  2,10 55 47.5,39.7476,22.1201,8,2.7
2022 JAN  2,10 57 56.8,37.1512,20.8640,9,4.1
2022 JAN  2,11 31 53.5,35.1389,25.2383,9,1.2
2022 JAN  2,12 05 00.6,36.9516,22.6859,12,1.9
2022 JAN  2,12 06 43.5,38.2961,23.3913,7,1.4
2022 JAN  2,12 34 09.8,38.0099,21.9955,21,1.1
2022 JAN  2,12 49 44.5,37.1365,20.8163,4,3.4
2022 JAN  2,12 58 11.1,38.2695,22.5444,11,1.6
2022 JAN  2,13 10 58.8,37.6035,23.1253,83,2.4
2022 JAN  2,13 21 00.7,40.1830,25.1198,18,3.0
2022 JAN  2,13 49 16.2,35.1512,25.2232,10,1.0
2022 JAN  2,14 17 42.1,37.1375,20.8557,7,2.1
2022 JAN  2,14 56 58.8,38.4288,21.9850,9,1.5
2022 JAN  2,17 34 23.4,39.3375,20.6314,20,2.1
2022 JAN  2,18 07 41.1,38.3208,22.3274,10,1.8
2022 JAN  2,19 42 29.5,35.1768,25.3139,7,0.7
2022 JAN  2,19 43 46.2,35.1302,25.2141,12,1.3
2022 JAN  2,20 04 31.1,35.1242,25.2951,14,1.5
2022 JAN  2,20 37 44.0,34.2023,25.7465,8,2.6
2022 JAN  2,20 55 58.3,37.9674,21.0374,18,1.0
2022 JAN  2,21 43 06.5,35.1201,25.2855,13,2.0
2022 JAN  2,21 45 37.2,37.5961,20.4556,14,2.3
2022 JAN  2,21 51 47.9,35.1741,25.3075,6,1.4
2022 JAN  2,22 32 18.5,38.2274,23.1798,15,1.4
2022 JAN  2,22 38 37.7,38.3263,23.3638,10,1.4
