ID,LAT,DATETIME,LONG,DEPTH,MAGNITUDE,COIL_DISTANCE,PREPARATION_RADIUS,DOBROWOLSKY
1,37.59,2016-02-15 18:55:00.400,21.72,24.0,5.2,88.14,172.19,1
2,36.71,2016-05-15 21:27:31.700,22.91,17.0,4.2,69.75,63.97,1
3,37.28,2016-05-30 21:49:55.200,22.6,10.0,2.4,10.31,10.76,1
4,37.28,2016-06-08 08:39:25.500,22.59,8.0,2.8,8.29,16.0,1
5,36.73,2016-09-28 07:17:34.100,21.87,56.0,5.0,103.22,141.25,1
6,37.23,2016-10-23 19:41:57.100,22.08,7.0,3.8,45.45,43.05,1
7,37.45,2016-10-26 01:27:39.000,22.61,5.0,3.3,21.69,26.24,1
8,37.46,2016-11-13 10:53:14.700,22.75,5.0,3.3,26.98,26.24,1
9,38.09,2016-12-03 21:04:35.900,21.98,14.0,4.7,107.28,104.95,1
10,36.56,2016-12-27 19:31:06.100,22.96,10.0,4.4,85.26,77.98,1
11,37.1137,2017-01-13 12:12:05.000,22.173,6.0,3.8,40.49,43.05,1
12,38.8388,2017-06-12 12:28:38.200,26.3623,12.0,6.1,375.13,419.76,1
13,36.8092,2017-06-16 23:42:45.400,23.0175,59.0,4.8,86.47,115.88,1
14,36.9643,2017-07-20 22:31:11.700,27.4332,10.0,6.2,432.26,463.45,1
15,36.5508,2018-05-16 22:30:04.200,22.923,13.0,4.6,85.37,95.06,1
16,36.6273,2018-06-05 08:52:40.600,22.6707,9.0,4.6,71.3,95.06,1
17,36.6833,2018-06-25 05:14:47.200,21.3745,5.0,5.2,125.48,172.19,1
18,36.6632,2018-09-27 10:21:50.600,21.5021,14.0,5.2,117.86,172.19,1
19,37.3516,2018-10-25 22:54:50.500,20.4922,13.0,6.6,186.23,688.65,1
20,37.1384,2018-10-25 23:09:20.500,20.6589,8.0,5.3,171.69,190.11,1
21,37.5938,2018-10-30 02:59:59.800,20.5123,7.0,5.4,187.24,209.89,1
22,37.4575,2018-10-30 15:12:02.000,20.4522,6.0,5.5,190.27,231.74,1
23,36.5703,2019-02-17 19:07:41.800,22.9766,16.0,4.5,85.73,86.1,1
24,38.3492,2019-03-30 10:46:19.100,22.2972,13.0,5.4,124.1,209.89,1
25,37.3389,2019-04-25 11:04:22.700,22.1045,11.0,4.1,44.82,57.94,1
26,38.118,2019-07-19 11:13:15.200,23.53,13.0,5.1,127.16,155.96,1
27,36.9905,2019-11-17 17:14:24.400,23.1175,28.0,4.1,62.66,57.94,1
28,35.6854,2019-11-27 07:23:42.700,23.2599,71.0,6.1,198.16,419.76,1
29,35.0647,2020-05-20 23:43:18.700,20.3357,38.0,5.9,319.01,344.35,1
30,36.9049,2020-08-17 07:27:03.500,23.725,90.0,5.2,141.21,172.19,1
31,37.164,2020-10-21 23:00:55.100,20.4025,7.0,5.3,194.12,190.11,1
32,37.9001,2020-10-30 11:51:24.400,26.8149,12.0,6.7,380.48,760.33,1
33,38.3601,2021-02-17 03:36:06.300,21.9466,6.0,5.0,134.45,141.25,1
34,39.76,2021-03-03 10:16:08.300,22.2102,8.0,5.9,279.45,344.35,1
35,39.7993,2021-03-04 18:38:19.100,22.126,5.0,5.9,284.65,344.35,1
36,34.8944,2021-10-12 09:24:02.700,26.4716,10.0,6.3,437.69,511.68,1
37,36.0777,2021-12-18 05:16:39.800,23.2201,58.0,5.4,154.37,209.89,1
38,35.907,2022-04-27 01:51:53.400,22.6428,79.0,5.2,169.83,172.19,1
39,37.4391,2022-06-20 00:57:31.400,22.2166,14.0,3.9,40.63,47.53,1
40,38.3052,2022-10-08 22:02:28.000,22.516,13.0,5.0,116.79,141.25,1
41,37.2908,2023-02-04 10:52:02.500,22.5682,11.0,2.4,11.58,10.76,1
42,35.6003,2023-03-14 16:36:01.600,22.1329,15.0,5.2,189.27,172.19,1
43,37.2844,2024-01-16 05:20:51.800,22.9655,14.0,4.8,36.65,115.88,1
44,37.2588,2024-01-16 10:14:43.800,22.9573,14.0,3.6,35.9,35.32,1
45,37.2098,2024-03-29 07:12:48.700,21.1935,30.0,5.8,127.17,311.89,1
46,37.3439,2024-05-15 03:12:23.800,22.5032,9.0,3.5,14.77,31.99,1
47,37.3293,2024-05-15 09:52:49.600,22.5114,9.0,2.8,13.45,16.0,1
48,37.2697,2024-06-13 04:16:11.500,22.592,8.0,2.4,8.09,10.76,1
49,37.8465,2024-07-06 17:34:29.700,21.1803,11.0,4.9,140.51,127.94,1
