Time,CS,foF2,MUFD,fmin,foEs,fminF,fxI,foF2p,minEs,hF,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2010-05-11 09:00:00+00:00,0,,,4.45,8.5,,,,4.45,,100.0,,,,,,,,,,
2010-05-25 13:25:00+00:00,0,,,5.1,10.0,,,,5.1,,102.0,,,,,,,,,,
2010-05-26 14:30:00+00:00,0,,,4.0,4.9,,,,4.0,,120.0,,,,,,,,,,
2010-05-26 15:00:00+00:00,0,,,5.0,6.5,,,,5.0,,111.0,,,,,,,,,,
2010-05-26 15:15:00+00:00,0,,,4.25,5.4,,,,4.25,,111.0,,,,,,,,,,
2010-05-26 15:30:00+00:00,0,,,4.0,6.05,,,,4.0,,112.0,,,,,,,,,,
2010-05-26 15:45:00+00:00,0,,,3.05,4.25,,,,3.05,,111.0,,,,,,,,,,
2010-05-26 16:15:00+00:00,0,,,2.8,4.5,,,,2.8,,109.0,,,,,,,,,,
2010-05-26 16:30:00+00:00,0,,,3.4,4.5,,,,3.4,,106.0,,,,,,,,,,
2010-05-26 17:00:00+00:00,0,,,3.05,4.45,,,,3.05,,104.0,,,,,,,,,,
2010-05-26 17:15:00+00:00,0,,,4.3,7.2,,,,4.3,,104.0,,,,,,,,,,
2010-05-26 17:30:00+00:00,50,6.55,19.21,5.0,,5.0,7.1,6.14,,333.4,,,,300.9,236.4,89.0,46.6,99.4,10.8,2.93,1.58
2010-05-26 17:45:00+00:00,50,6.65,19.25,2.8,4.16,4.6,7.85,6.03,2.8,322.8,114.8,,,314.3,252.8,86.4,44.8,94.4,10.7,2.89,1.62
2010-05-26 18:00:00+00:00,50,7.0,20.51,2.1,3.55,2.85,7.55,5.89,2.1,281.0,115.0,110.0,20.0,324.9,266.9,83.0,44.2,82.5,11.4,2.93,2.18
2010-05-26 18:15:00+00:00,100,5.8,20.06,2.05,2.8,3.75,6.35,5.75,2.05,276.0,110.0,110.0,20.0,267.4,240.2,39.1,20.0,43.7,3.7,3.46,1.44
2010-05-26 18:30:00+00:00,0,,,2.9,4.45,,,,2.9,,108.0,,,,,,,,,,
2010-05-26 19:00:00+00:00,0,,,2.95,8.08,,,5.4,2.95,,113.2,,,,,,,,,,
2010-05-26 19:15:00+00:00,100,8.35,31.49,3.1,5.15,3.1,9.1,5.27,,222.2,114.8,,,239.6,224.3,22.7,11.5,23.5,4.3,3.77,1.72
2010-05-26 19:30:00+00:00,100,8.9,32.63,3.1,,3.1,9.45,5.15,,218.4,,,,244.2,220.1,34.5,18.2,30.2,7.4,3.67,3.24
2010-05-26 19:45:00+00:00,100,8.4,31.17,2.55,,2.55,9.05,5.03,3.0,213.8,,,,240.0,217.4,32.5,17.1,29.0,6.2,3.71,3.08
2010-05-26 20:00:00+00:00,100,7.15,26.58,3.4,5.05,4.8,7.7,4.86,3.4,232.0,91.0,110.0,20.0,243.4,225.4,25.9,13.7,24.4,3.6,3.72,2.61
2010-05-26 20:15:00+00:00,100,5.3,19.34,2.7,3.3,4.3,5.85,4.75,2.7,269.5,104.0,110.0,20.0,257.4,241.0,23.8,12.1,24.6,1.8,3.65,1.77
2010-05-26 20:30:00+00:00,0,,,1.65,4.45,,,,1.65,,102.0,,,,,,,,,,
2010-05-26 20:45:00+00:00,0,,,4.0,4.5,,,,4.0,,105.0,,,,,,,,,,
2010-05-26 21:30:00+00:00,100,3.5,12.23,3.05,,3.05,4.05,4.31,,275.0,,110.0,20.0,264.7,244.0,29.7,15.7,29.6,1.0,3.49,2.14
2010-05-26 22:00:00+00:00,100,3.45,10.91,3.05,,3.05,4.05,4.16,,340.5,,110.0,20.0,305.0,270.1,50.2,26.0,51.8,1.7,3.16,1.86
2010-05-26 23:45:00+00:00,100,3.1,10.01,2.75,,2.75,3.65,3.68,,337.5,,110.0,20.0,295.2,263.8,45.0,23.1,48.0,1.2,3.23,1.67
2010-05-27 00:00:00+00:00,100,3.2,10.3,2.6,,2.6,3.75,3.61,,318.5,,110.0,20.0,297.6,265.0,46.8,24.2,49.0,1.3,3.22,1.78
2010-05-27 00:45:00+00:00,100,3.5,11.1,2.7,,2.7,4.05,3.44,,347.0,,110.0,20.0,312.8,281.2,46.0,22.6,55.4,1.5,3.17,1.11
2010-05-27 01:00:00+00:00,100,2.95,9.05,2.8,,2.8,3.5,3.38,,375.0,,110.0,20.0,307.0,267.0,57.1,29.9,58.4,1.4,3.07,1.95
2010-05-27 02:30:00+00:00,0,,,2.8,4.2,,,,2.8,,120.0,,,,,,,,,,
2010-05-27 02:45:00+00:00,0,,,2.1,2.8,,,,2.1,,120.0,,,,,,,,,,
2010-05-27 04:00:00+00:00,70,4.55,15.16,3.7,,3.7,5.1,4.08,,292.0,,110.0,20.0,234.3,178.8,66.5,38.5,94.6,4.5,3.33,1.2
2010-05-27 04:15:00+00:00,70,4.7,15.54,3.7,,3.7,5.25,4.25,,280.0,,110.0,20.0,233.8,173.3,73.8,42.5,97.9,5.2,3.31,1.37
2010-05-27 04:30:00+00:00,50,4.8,16.8,2.75,3.1,3.5,5.35,4.42,2.75,266.0,117.0,110.0,20.0,221.3,169.0,59.7,36.4,91.4,4.8,3.5,1.13
2010-05-27 05:00:00+00:00,0,,,2.85,3.65,,,,2.85,,115.0,,,,,,,,,,
2010-05-27 05:30:00+00:00,0,,,2.15,4.54,,,4.97,,,111.0,105.8,16.3,,,,,,,,
2010-05-27 05:45:00+00:00,0,,,,4.43,,,5.06,,,106.4,,,,,,,,,,
2010-05-27 06:00:00+00:00,0,,,3.7,4.45,,,5.14,3.7,,108.0,,,,,,,,,,
2010-05-27 06:15:00+00:00,0,,,,,,,5.2,,,,,,,,,,,,,
2010-05-27 06:30:00+00:00,0,,,5.3,6.15,,,,5.3,,105.0,,,,,,,,,,
2010-05-27 06:45:00+00:00,0,,,3.7,4.5,,,,3.7,,106.0,,,,,,,,,,
2010-05-27 07:00:00+00:00,0,,,3.7,4.75,,,,3.7,,106.0,,,,,,,,,,
2010-05-27 07:30:00+00:00,0,,,3.9,4.75,,,,3.9,,106.0,,,,,,,,,,
2010-05-27 10:30:00+00:00,0,,,4.4,5.75,,,,4.4,,103.0,,,,,,,,,,
2010-05-27 14:30:00+00:00,0,,,3.2,3.75,,,,3.2,,130.0,,,,,,,,,,
2010-05-27 15:45:00+00:00,0,,,4.0,4.5,,,,4.0,,112.0,,,,,,,,,,
2010-05-27 16:00:00+00:00,0,,,3.9,5.2,,,,3.9,,111.0,,,,,,,,,,
2010-05-27 16:30:00+00:00,50,4.95,15.32,2.75,4.75,4.7,5.5,6.46,2.75,365.0,110.0,110.0,20.0,241.7,174.3,87.8,48.8,101.6,6.5,3.1,1.73
2010-05-27 17:15:00+00:00,50,5.3,17.44,3.65,4.54,3.65,5.85,6.23,,281.6,110.2,,,255.7,205.2,66.0,36.3,84.3,5.7,3.29,1.29
2010-05-27 17:30:00+00:00,0,,,,11.23,,,6.14,,,119.3,,,,,,,,,,
2010-05-27 17:45:00+00:00,50,5.15,18.24,2.75,5.0,4.05,5.7,6.02,2.75,272.0,111.0,110.0,20.0,250.2,208.3,59.7,32.8,58.6,4.6,3.54,2.45
2010-05-27 18:00:00+00:00,50,6.65,20.58,3.3,,3.3,7.2,5.89,,252.5,,110.0,20.0,292.4,240.9,73.3,39.1,69.9,9.0,3.09,2.57
2010-05-27 18:15:00+00:00,0,,,3.2,3.8,,,,3.2,,110.0,,,,,,,,,,
2010-05-27 18:30:00+00:00,100,4.65,16.22,2.05,4.1,3.4,5.2,5.62,2.05,277.5,104.0,110.0,20.0,263.9,238.0,37.1,19.0,40.3,2.2,3.49,1.59
2010-05-27 18:45:00+00:00,100,6.65,21.66,2.1,,2.1,6.55,5.53,,236.7,,,,279.2,243.1,51.7,27.0,47.5,6.2,3.26,2.72
2010-05-27 19:00:00+00:00,100,6.8,22.25,2.1,5.35,2.1,7.2,5.4,,236.7,114.0,,,281.3,244.4,52.7,27.8,46.8,6.6,3.27,3.1
2010-05-27 19:15:00+00:00,100,6.6,21.87,1.75,,1.75,5.1,5.27,,228.3,,,,273.3,237.0,51.9,27.3,46.8,6.1,3.31,2.95
2010-05-27 19:30:00+00:00,100,6.55,21.93,1.85,,1.85,5.5,5.15,,229.0,,,,272.1,237.3,49.8,26.2,44.8,5.8,3.35,3.0
2010-05-27 19:45:00+00:00,100,4.55,17.42,3.3,,3.3,5.1,4.97,,241.0,,110.0,20.0,249.9,226.1,33.4,19.2,27.4,2.0,3.83,6.0
2010-05-27 20:00:00+00:00,100,5.05,18.78,2.7,,2.7,5.6,4.86,,232.5,,110.0,20.0,243.5,225.3,26.3,13.8,25.5,1.8,3.72,2.27
2010-05-27 20:15:00+00:00,100,5.55,19.61,3.3,,3.3,6.1,4.75,,238.5,,110.0,20.0,259.4,234.0,36.2,19.5,32.5,3.1,3.53,3.42
2010-05-27 20:30:00+00:00,100,6.0,20.22,3.4,,3.4,6.55,4.66,,242.5,,110.0,20.0,277.6,242.5,49.6,27.0,43.1,4.9,3.37,4.21
2010-05-27 21:00:00+00:00,100,6.3,20.48,2.1,,2.1,6.85,4.48,,236.3,,110.0,20.0,285.1,244.1,58.2,30.9,53.0,6.3,3.25,3.12
2010-05-27 21:15:00+00:00,100,5.7,20.08,3.25,,3.25,6.25,4.39,,241.0,,110.0,20.0,262.5,236.3,37.2,20.1,33.3,3.3,3.52,3.5
2010-05-27 21:30:00+00:00,100,4.75,17.45,2.8,,2.8,5.3,4.31,,237.5,,110.0,20.0,248.4,229.2,27.6,14.6,26.7,1.7,3.67,2.35
2010-05-27 21:45:00+00:00,100,4.8,16.45,4.3,,4.3,5.45,4.23,,300.0,,110.0,20.0,276.9,254.0,33.2,17.1,33.7,2.1,3.43,1.91
2010-05-27 22:00:00+00:00,100,4.9,15.38,1.6,1.8,2.65,5.45,4.16,1.6,257.5,102.0,110.0,20.0,301.9,257.6,62.5,34.1,53.4,4.2,3.14,4.7
2010-05-27 22:15:00+00:00,100,4.45,15.16,2.05,2.85,3.1,5.0,4.08,2.05,301.0,105.0,110.0,20.0,287.1,263.6,34.4,17.2,37.9,1.9,3.41,1.42
2010-05-27 22:30:00+00:00,100,4.45,18.42,2.8,,2.8,5.0,4.01,,212.0,,110.0,20.0,214.3,199.9,20.5,11.3,17.7,1.1,4.14,4.38
2010-05-27 22:45:00+00:00,100,4.1,13.69,3.0,4.2,3.4,4.7,3.94,3.0,319.5,105.0,110.0,20.0,289.9,264.6,36.9,18.4,40.8,1.7,3.34,1.41
2010-05-27 23:30:00+00:00,100,4.3,13.98,3.65,,3.65,4.85,3.74,,308.5,,110.0,20.0,293.0,262.8,43.6,22.7,43.7,2.2,3.25,2.02
2010-05-27 23:45:00+00:00,100,4.1,13.41,2.75,,2.75,4.65,3.68,,282.0,,110.0,20.0,290.3,259.5,44.3,23.3,43.6,2.1,3.27,2.2
2010-05-28 00:00:00+00:00,100,4.15,12.8,2.95,,2.95,4.7,3.61,,285.0,,110.0,20.0,309.3,266.9,60.6,32.6,55.6,2.9,3.09,3.07
2010-05-28 00:15:00+00:00,100,4.0,12.9,2.95,,2.95,4.55,3.55,,289.5,,110.0,20.0,292.3,260.6,45.6,24.0,45.2,2.0,3.23,2.14
2010-05-28 00:30:00+00:00,100,4.0,12.43,2.15,,2.15,4.55,3.49,,274.5,,110.0,20.0,305.5,263.0,60.6,32.2,56.8,2.7,3.11,2.75
2010-05-28 00:45:00+00:00,100,3.9,12.68,2.7,,2.7,4.45,3.44,,280.0,,110.0,20.0,288.9,257.1,45.7,24.0,45.0,1.9,3.25,2.2
2010-05-28 01:00:00+00:00,100,3.7,12.6,2.05,,2.05,4.3,3.38,,266.0,,110.0,20.0,275.0,250.3,35.7,18.5,36.7,1.4,3.4,1.86
2010-05-28 01:15:00+00:00,100,3.5,12.35,3.0,,3.0,4.05,3.34,,282.5,,110.0,20.0,263.9,241.7,32.0,16.6,32.8,1.1,3.53,1.89
2010-05-28 03:15:00+00:00,70,3.6,12.35,3.1,,3.1,4.15,3.63,,276.0,,110.0,20.0,235.1,187.5,62.8,34.7,70.4,2.5,3.43,1.82
2010-05-28 04:30:00+00:00,50,4.7,15.55,3.05,3.9,4.3,5.25,4.42,3.05,325.5,114.0,110.0,20.0,223.1,162.6,72.8,41.2,100.4,5.1,3.31,1.3
2010-05-28 04:45:00+00:00,50,5.4,18.72,2.7,4.5,4.45,5.95,4.58,2.7,282.0,111.0,110.0,20.0,217.9,163.9,64.0,36.5,92.5,5.9,3.47,1.17
