Time,CS,foF2,MUFD,fmin,foEs,fminF,fxI,FF,foF2p,minEs,hF,hF2,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2010-06-01 00:00:00+00:00,0,,,2.1,4.7,,,,,2.1,,,99.0,,,,,,,,,,
2010-06-01 00:15:00+00:00,100,5.65,23.86,1.7,8.6,1.7,6.2,,3.85,4.0,207.0,,99.0,110.0,20.0,210.0,203.0,10.5,10.6,11.4,1.5,4.22,1.49
2010-06-01 00:30:00+00:00,0,,,1.7,2.3,,,,,1.7,,,99.0,,,,,,,,,,
2010-06-01 00:45:00+00:00,100,4.05,17.36,3.05,3.6,3.3,4.6,,3.71,3.05,203.0,,100.0,110.0,20.0,198.1,189.4,12.6,10.6,12.6,0.8,4.29,2.06
2010-06-01 01:00:00+00:00,0,,,2.85,4.55,,,,,2.85,,,103.0,,,,,,,,,,
2010-06-01 01:15:00+00:00,0,,,2.15,3.4,,,,,2.15,,,102.0,,,,,,,,,,
2010-06-01 01:30:00+00:00,0,,,2.75,3.65,,,,,2.75,,,98.0,,,,,,,,,,
2010-06-01 01:45:00+00:00,100,3.45,10.45,3.0,,3.0,4.05,0.05,3.51,,366.0,,,110.0,20.0,316.7,272.9,62.7,32.2,66.8,2.1,3.03,1.68
2010-06-01 03:00:00+00:00,70,3.7,10.57,3.05,,3.05,4.25,,3.68,,358.0,,,110.0,20.0,308.9,232.8,102.6,56.0,113.1,4.2,2.86,1.78
2010-06-01 03:15:00+00:00,70,4.1,13.03,3.1,,3.1,4.65,,3.8,,312.5,,,110.0,20.0,262.6,207.3,70.0,38.6,94.8,3.6,3.18,1.17
2010-06-01 03:30:00+00:00,70,4.3,14.15,3.45,,3.45,4.85,,3.93,,297.5,,,110.0,20.0,246.2,193.8,65.0,36.6,88.9,3.8,3.29,1.2
2010-06-01 03:45:00+00:00,70,4.45,15.72,3.4,,3.4,5.0,,4.09,,284.5,,,110.0,20.0,225.6,180.3,51.7,30.1,79.4,3.5,3.53,1.03
2010-06-01 04:00:00+00:00,70,4.15,14.3,3.4,,3.4,4.7,,4.25,,279.5,,,110.0,20.0,223.8,170.4,61.4,36.5,91.6,3.6,3.45,1.17
2010-06-01 04:30:00+00:00,0,,,,,,,,4.57,,,,,,,,,,,,,,
2010-06-01 04:45:00+00:00,0,,,,,,,,4.72,,,,,,,,,,,,,,
2010-06-01 05:00:00+00:00,0,,,,3.93,,,,4.86,,,,118.6,,,,,,,,,,
2010-06-01 05:15:00+00:00,0,,,3.3,4.27,,,,4.98,3.3,,,111.7,,,,,,,,,,
2010-06-01 05:30:00+00:00,0,,,3.0,4.1,,,,,3.0,,,112.0,,,,,,,,,,
2010-06-01 05:45:00+00:00,0,,,3.75,4.25,,,,,3.75,,,108.0,,,,,,,,,,
2010-06-01 06:30:00+00:00,0,,,,4.51,,,,5.24,,,,111.0,,,,,,,,,,
2010-06-01 06:45:00+00:00,0,,,3.45,4.57,,,,5.24,3.45,,,111.0,,,,,,,,,,
2010-06-01 07:00:00+00:00,0,,,3.45,4.6,,,,,3.45,,,107.0,,,,,,,,,,
2010-06-01 07:15:00+00:00,0,,,4.0,5.1,,,,,4.0,,,105.0,,,,,,,,,,
2010-06-01 07:30:00+00:00,0,,,3.7,4.8,,,,,3.7,,,107.0,,,,,,,,,,
2010-06-01 07:45:00+00:00,0,,,4.0,4.6,,,,,4.0,,,106.0,,,,,,,,,,
2010-06-01 08:15:00+00:00,0,,,3.4,4.6,,,,,3.4,,,107.0,,,,,,,,,,
2010-06-01 08:45:00+00:00,0,,,3.35,4.1,,,,,3.35,,,107.0,,,,,,,,,,
2010-06-01 09:00:00+00:00,0,,,5.5,6.25,,,,,5.5,,,100.0,,,,,,,,,,
2010-06-01 10:30:00+00:00,0,,,4.05,5.4,,,,,4.05,,,106.0,,,,,,,,,,
2010-06-01 14:45:00+00:00,0,,,3.4,6.5,,,,,3.4,,,114.0,,,,,,,,,,
2010-06-01 15:00:00+00:00,0,,,4.0,6.45,,,,,4.0,,,113.0,,,,,,,,,,
2010-06-01 15:15:00+00:00,0,,,4.0,5.5,,,,,4.0,,,112.0,,,,,,,,,,
2010-06-01 16:00:00+00:00,0,,,4.0,4.5,,,,,4.0,,,112.0,,,,,,,,,,
2010-06-01 16:15:00+00:00,0,,,3.4,4.8,,,,,3.4,,,108.0,,,,,,,,,,
2010-06-01 17:00:00+00:00,50,6.55,19.29,1.7,3.8,3.45,7.1,,6.29,1.95,277.0,,106.0,101.6,11.5,292.5,219.1,99.0,55.4,104.5,12.9,2.94,1.89
