Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,FE,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2010-12-01 00:00:00+00:00,100,2.9,,9.54,1.75,,1.75,,,3.58,0.13,,3.32,,259.5,,,,110.0,20.0,283.1,,250.4,46.6,,25.2,42.1,1.1,3.29,3.39,
2010-12-01 00:15:00+00:00,100,3.0,,9.8,1.75,,1.75,,,3.6,0.05,,3.35,,253.5,,,,110.0,20.0,283.5,,247.3,51.4,,27.9,45.3,1.3,3.27,3.85,
2010-12-01 00:30:00+00:00,100,3.0,,9.98,1.73,,1.73,,,3.63,0.08,,3.36,,243.5,,,,110.0,20.0,274.1,,238.3,50.8,,27.6,44.3,1.3,3.33,4.1,
2010-12-01 00:45:00+00:00,100,2.875,,9.81,1.75,,1.75,,,3.53,0.1,,3.35,,238.5,,,,110.0,20.0,264.1,,232.4,45.0,,24.5,39.7,1.0,3.41,3.87,
2010-12-01 01:00:00+00:00,100,2.825,,9.11,1.85,,1.85,,,3.38,,,3.3,,250.0,,,,110.0,20.0,284.7,,245.8,55.3,,30.3,47.2,1.2,3.23,4.66,
2010-12-01 01:15:00+00:00,100,2.8,,8.99,1.7,,1.7,,,3.35,,,3.23,,256.0,,,,110.0,20.0,289.8,,250.5,55.9,,30.5,48.5,1.2,3.21,4.23,
2010-12-01 01:30:00+00:00,100,2.675,,8.93,1.73,,1.73,,,3.22,,,3.14,,256.0,,,,110.0,20.0,277.1,,245.6,44.8,,24.3,40.4,0.9,3.34,3.43,
2010-12-01 01:45:00+00:00,100,2.625,,8.84,2.03,,2.03,,,3.33,0.15,,3.03,,273.5,,,,110.0,20.0,277.6,,251.8,36.9,,19.7,36.3,0.7,3.37,2.28,
2010-12-01 02:00:00+00:00,100,2.675,,8.68,1.73,,1.73,,,3.25,0.03,,2.92,,265.0,,,,110.0,20.0,288.5,,253.1,50.4,,27.4,44.6,1.0,3.25,3.78,
2010-12-01 02:15:00+00:00,100,2.7,,8.61,1.6,,1.6,,,3.38,0.13,,2.81,,263.5,,,,110.0,20.0,294.5,,254.5,56.9,,31.1,49.4,1.2,3.19,4.25,
2010-12-01 02:30:00+00:00,100,2.45,,8.44,2.15,,2.15,,,3.03,0.03,,2.71,,295.0,,,,110.0,20.0,271.0,,247.6,33.2,,17.4,34.7,0.6,3.44,1.85,
2010-12-01 02:45:00+00:00,100,2.675,,8.77,1.73,,1.73,,,3.25,0.03,,2.64,,268.5,,,,110.0,20.0,286.4,,252.2,48.8,,26.2,45.6,1.0,3.28,2.84,
2010-12-01 03:00:00+00:00,100,2.625,,8.73,1.7,,1.7,,,3.17,,,2.59,,258.5,,,,110.0,20.0,279.8,,246.5,47.5,,25.9,42.1,0.9,3.33,3.79,
2010-12-01 03:15:00+00:00,100,2.3,,8.27,1.83,,1.83,,,2.92,0.08,,2.57,,259.5,,,,110.0,20.0,253.3,,234.6,26.5,,14.0,26.9,0.4,3.6,2.04,
2010-12-01 03:30:00+00:00,100,2.35,,8.09,1.73,,1.73,,,3.13,0.22,,2.58,,255.0,,,,110.0,20.0,264.0,,238.0,37.2,,20.2,34.7,0.6,3.44,2.91,
