Time,CS,foF2,foF1,MUFD,fmin,fminF,fxI,FF,foF2p,hF,hF2,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2011-03-01 00:00:00+00:00,100,3.725,,12.09,1.88,1.88,4.28,,3.2,252.0,,110.0,20.0,285.8,,249.8,51.2,,27.5,46.2,2.0,3.24,3.36,
2011-03-01 00:15:00+00:00,100,3.8,,12.23,2.0,2.0,4.35,,3.23,251.0,,110.0,20.0,288.9,,250.1,55.0,,29.8,48.4,2.2,3.22,3.9,
2011-03-01 00:30:00+00:00,100,3.55,,11.94,1.95,1.95,4.1,,3.23,245.0,,110.0,20.0,273.4,,241.2,45.7,,24.8,40.5,1.6,3.36,3.78,
2011-03-01 00:45:00+00:00,100,3.6,,11.6,1.85,1.85,4.15,,3.21,246.0,,110.0,20.0,286.1,,246.3,56.4,,30.5,49.5,2.0,3.22,3.93,
2011-03-01 01:00:00+00:00,100,3.6,,11.51,1.85,1.85,4.15,,3.17,254.5,,110.0,20.0,290.8,,252.6,54.2,,29.2,48.7,2.0,3.2,3.48,
2011-03-01 01:15:00+00:00,100,3.375,,11.37,2.83,2.83,3.92,,3.1,292.5,,110.0,20.0,280.9,,255.8,36.0,,18.9,36.1,1.1,3.37,2.06,
2011-03-01 01:30:00+00:00,100,3.575,,11.27,2.08,2.08,4.18,0.05,3.03,269.5,,110.0,20.0,300.6,,262.6,54.2,,29.3,48.9,1.9,3.15,3.4,
2011-03-01 01:45:00+00:00,100,3.525,,11.06,2.08,2.08,4.07,,2.94,273.5,,110.0,20.0,302.1,,262.6,56.2,,30.2,51.3,1.9,3.14,3.18,
2011-03-01 02:00:00+00:00,100,3.525,,10.85,2.15,2.15,4.1,0.03,2.85,276.0,,110.0,20.0,307.5,,265.6,59.6,,32.2,53.8,2.1,3.08,3.37,
2011-03-01 02:15:00+00:00,100,3.5,,10.55,1.95,1.95,4.1,0.05,2.78,277.0,,110.0,20.0,316.6,,269.6,66.9,,36.2,59.9,2.3,3.01,3.52,
2011-03-01 02:30:00+00:00,100,3.475,,10.55,1.98,1.98,4.03,,2.72,284.5,,110.0,20.0,314.3,,270.1,63.0,,33.7,59.2,2.1,3.03,2.74,
2011-03-01 02:45:00+00:00,100,3.475,,10.63,1.92,1.92,4.03,,2.68,279.5,,110.0,20.0,310.5,,267.4,61.5,,32.9,57.8,2.1,3.06,2.72,
2011-03-01 03:00:00+00:00,100,3.475,,10.5,1.92,1.92,4.03,,2.68,274.5,,110.0,20.0,313.9,,266.2,67.8,,36.7,61.0,2.3,3.02,3.43,
2011-03-01 03:15:00+00:00,100,3.25,,10.23,1.9,1.9,3.8,,2.72,277.5,,110.0,20.0,298.3,,259.8,55.0,,29.3,52.8,1.6,3.15,2.47,
2011-03-01 03:30:00+00:00,100,3.4,,10.34,1.85,1.85,3.97,0.03,2.8,274.5,,110.0,20.0,310.6,,263.8,66.8,,35.9,61.8,2.2,3.04,2.96,
2011-03-01 03:45:00+00:00,100,3.375,,10.39,2.03,2.03,3.92,,2.91,277.5,,110.0,20.0,304.1,,259.0,64.4,,34.5,60.7,2.0,3.08,2.72,
2011-03-01 04:00:00+00:00,100,3.375,,10.82,1.83,1.83,4.0,0.08,3.06,267.0,,110.0,20.0,289.0,,249.5,56.3,,30.1,55.2,1.8,3.2,2.32,
2011-03-01 04:15:00+00:00,100,3.4,,11.1,1.92,1.92,4.0,0.05,3.23,256.0,,110.0,20.0,277.8,,238.4,55.8,,30.0,54.7,1.8,3.27,2.36,
2011-03-01 04:30:00+00:00,70,3.4,,11.86,1.95,1.95,3.95,,3.42,242.0,,110.0,20.0,251.6,,221.3,42.2,,22.8,44.3,1.5,3.49,1.97,
2011-03-01 04:45:00+00:00,70,3.775,,14.09,1.95,1.95,4.32,,3.63,226.0,,110.0,20.0,228.6,,204.1,33.6,,18.6,38.8,1.5,3.73,1.6,
