Time,CS,foF2,foF1,MUFD,fmin,fminF,fxI,foF2p,hF,hF2,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2011-04-18 10:00:00+00:00,100,8.337,4.21,26.45,3.95,3.95,8.88,6.69,201.0,254.5,110.0,20.0,256.5,194.6,76.8,47.6,103.1,18.0,3.18,1.41
2011-04-18 10:15:00+00:00,70,8.137,4.61,25.37,4.63,4.63,8.68,6.78,255.0,256.0,110.0,20.0,257.9,184.6,90.9,55.8,116.0,19.7,3.12,1.61
2011-04-18 10:30:00+00:00,0,8.075,4.72,24.83,4.25,4.25,8.63,,199.5,311.0,110.0,20.0,,,,,,,3.07,
2011-04-18 10:45:00+00:00,50,7.675,,24.21,6.32,6.32,8.23,6.88,309.5,,110.0,20.0,238.9,162.2,95.3,53.4,113.2,16.7,3.15,1.54
2011-04-18 11:00:00+00:00,70,7.7,,22.75,5.85,5.85,8.25,6.9,297.0,,110.0,20.0,275.9,176.2,131.2,73.4,142.8,22.8,2.95,1.94
2011-04-18 11:15:00+00:00,50,7.875,,23.68,6.32,6.32,8.43,6.9,350.5,,110.0,20.0,257.6,170.7,104.7,58.4,130.0,19.4,3.01,1.35
2011-04-18 11:30:00+00:00,100,7.975,,23.27,4.03,4.03,8.52,6.89,194.5,,110.0,20.0,284.0,196.0,107.2,63.5,113.6,21.8,2.92,1.78
2011-04-18 11:45:00+00:00,70,8.475,,24.61,4.8,4.8,9.02,6.88,319.5,,110.0,20.0,290.2,211.1,98.0,59.2,102.3,23.2,2.9,1.83
2011-04-18 12:00:00+00:00,50,8.575,,25.4,6.6,6.6,9.13,6.86,322.0,,110.0,20.0,268.7,180.8,112.4,62.1,123.5,24.3,2.96,1.67
2011-04-18 12:15:00+00:00,0,8.75,4.8,25.7,4.7,4.7,9.3,,367.5,312.0,110.0,20.0,,,,,,,2.94,
2011-04-18 12:30:00+00:00,70,9.05,,27.22,5.63,5.63,9.6,6.82,311.0,,110.0,20.0,276.6,200.4,96.3,55.4,103.7,24.6,3.01,1.66
2011-04-18 12:45:00+00:00,50,9.175,,28.1,6.15,6.15,9.73,6.8,298.5,,110.0,20.0,264.9,189.9,95.1,53.0,107.3,24.1,3.06,1.52
2011-04-18 13:00:00+00:00,70,9.4,,29.34,5.8,5.8,9.95,6.78,293.5,,110.0,20.0,263.9,196.3,85.2,48.3,99.7,23.3,3.12,1.41
2011-04-18 13:15:00+00:00,70,9.425,,30.8,4.5,4.5,9.98,6.76,289.5,,110.0,20.0,260.3,215.9,55.8,34.8,81.3,17.7,3.27,1.04
2011-04-18 13:30:00+00:00,0,10.2,5.97,32.64,6.0,6.0,10.75,,272.5,273.0,110.0,20.0,,,,,,,3.2,
2011-04-18 13:45:00+00:00,50,9.275,,30.55,5.9,5.9,9.82,6.72,248.5,,110.0,20.0,244.7,181.9,83.8,46.4,91.2,21.4,3.29,1.8
2011-04-18 14:00:00+00:00,0,8.95,4.85,29.22,4.88,4.88,9.5,,264.5,264.5,110.0,20.0,,,,,,,3.27,
2011-04-18 14:15:00+00:00,100,8.988,4.36,29.06,3.6,3.6,9.52,6.68,225.0,266.0,110.0,20.0,266.9,217.7,65.7,38.9,74.4,17.2,3.24,1.85
2011-04-18 14:30:00+00:00,0,8.85,4.3,28.43,3.85,3.85,9.4,,240.0,271.0,110.0,20.0,,,,,,,3.21,
2011-04-18 14:45:00+00:00,70,8.9,,28.64,5.07,5.07,9.45,6.62,258.5,,110.0,20.0,257.2,196.5,81.2,45.5,88.5,19.5,3.22,1.78
2011-04-18 15:00:00+00:00,50,8.85,,30.2,3.28,4.05,9.4,6.59,261.0,,110.0,20.0,249.5,208.5,56.0,33.7,68.9,14.7,3.41,1.47
2011-04-18 15:15:00+00:00,50,8.375,,28.16,2.95,3.95,8.93,6.56,258.5,,110.0,20.0,248.5,204.9,58.2,34.2,74.1,13.4,3.36,1.34
2011-04-18 15:30:00+00:00,70,8.75,,30.33,3.95,3.95,9.3,6.52,256.0,,110.0,20.0,242.0,207.4,46.3,27.4,65.6,12.0,3.47,1.05
2011-04-18 15:45:00+00:00,70,8.475,,28.65,3.4,3.4,9.02,6.48,251.0,,110.0,20.0,252.0,211.1,56.1,32.2,67.3,12.9,3.38,1.48
2011-04-18 16:00:00+00:00,70,8.525,,28.43,3.4,3.4,9.07,6.43,246.0,,110.0,20.0,255.9,211.0,62.7,35.3,69.5,14.1,3.34,1.76
