Time,CS,foF2,MUFD,fmin,fminF,fxI,FF,foF2p,hF,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2011-11-01 02:00:00+00:00,100,4.25,13.32,3.13,3.13,4.8,,2.88,299.0,110.0,20.0,306.8,271.6,50.6,26.6,50.0,2.5,3.13,2.15
2011-11-01 03:30:00+00:00,100,4.125,13.62,2.53,2.53,4.68,,2.73,250.0,110.0,20.0,280.1,246.1,48.4,26.3,42.9,2.3,3.3,3.73
2011-11-01 04:30:00+00:00,70,4.15,12.59,2.65,2.65,4.7,,3.39,245.0,110.0,20.0,306.3,239.2,95.9,52.3,83.0,4.7,3.04,4.23
2011-11-01 05:45:00+00:00,70,7.925,28.85,3.83,3.83,8.48,,4.66,225.0,110.0,20.0,226.4,193.3,45.2,25.3,57.2,8.9,3.64,1.27
2011-11-01 06:30:00+00:00,50,9.125,34.66,6.05,6.05,9.68,,5.32,235.0,110.0,20.0,209.8,175.2,44.8,23.7,60.3,11.1,3.8,1.08
2011-11-01 06:45:00+00:00,70,7.9,31.69,3.42,3.42,8.45,,5.5,225.0,110.0,20.0,203.9,185.0,23.8,15.4,39.9,5.9,4.01,1.0
2011-11-01 07:00:00+00:00,70,8.45,32.44,4.03,4.03,9.0,,5.65,219.0,110.0,20.0,210.0,182.9,34.8,20.9,53.1,8.7,3.84,1.0
2011-11-01 08:00:00+00:00,50,9.425,33.7,7.47,7.47,9.98,,6.08,259.0,110.0,20.0,214.7,168.2,60.3,32.2,75.9,15.6,3.58,1.3
2011-11-01 08:15:00+00:00,50,8.95,32.3,6.85,6.85,9.5,,6.16,249.0,110.0,20.0,211.7,164.8,60.1,32.4,77.4,14.1,3.61,1.27
2011-11-01 09:15:00+00:00,50,8.8,31.49,8.43,8.43,9.35,,6.36,290.0,110.0,20.0,200.9,156.8,59.1,32.3,64.5,13.4,3.58,1.89
2011-11-01 09:30:00+00:00,50,9.1,29.7,7.82,7.82,9.65,,6.4,300.0,110.0,20.0,234.5,172.7,81.8,44.4,93.5,19.6,3.26,1.64
2011-11-01 11:45:00+00:00,50,9.025,33.58,6.95,6.95,9.57,,6.57,255.0,110.0,20.0,205.7,162.0,54.5,29.1,73.4,13.1,3.72,1.15
2011-11-01 12:15:00+00:00,50,9.325,30.8,8.15,8.15,9.88,,6.49,315.0,110.0,20.0,228.5,173.8,71.9,38.5,88.2,18.0,3.3,1.4
2011-11-01 12:30:00+00:00,50,9.4,32.37,8.43,8.43,9.95,,6.41,295.0,110.0,20.0,216.3,168.5,63.8,34.3,72.6,16.3,3.44,1.65
2011-11-01 13:00:00+00:00,50,10.275,32.87,7.57,7.57,10.82,,6.18,280.0,110.0,20.0,254.8,192.4,84.1,44.8,95.3,25.4,3.2,1.56
2011-11-01 13:30:00+00:00,50,9.125,33.01,7.32,7.32,9.68,,5.85,265.0,110.0,20.0,214.4,172.2,55.2,29.1,65.9,13.3,3.62,1.41
2011-11-01 13:45:00+00:00,50,9.35,32.87,6.95,6.95,9.9,,5.65,255.0,110.0,20.0,228.3,181.0,63.7,33.9,73.7,16.0,3.52,1.53
2011-11-01 15:15:00+00:00,0,9.05,35.3,7.75,7.75,9.6,,4.25,240.0,110.0,20.0,207.7,184.2,33.1,17.1,35.6,7.6,3.9,1.69
2011-11-01 15:30:00+00:00,0,8.65,33.33,3.83,3.83,9.2,,4.03,215.0,110.0,20.0,221.4,200.2,30.5,15.9,33.5,6.5,3.85,1.57
2011-11-01 15:45:00+00:00,0,8.75,31.77,3.72,3.72,9.3,,3.81,215.0,110.0,20.0,240.5,213.3,38.7,20.7,36.0,8.2,3.63,2.86
2011-11-01 16:15:00+00:00,0,7.325,26.52,3.75,3.75,7.88,,3.43,225.0,110.0,20.0,248.0,225.2,32.8,17.3,31.4,4.8,3.62,2.42
2011-11-01 16:45:00+00:00,0,6.775,21.78,4.05,4.05,7.32,,3.12,250.0,110.0,20.0,284.9,252.4,46.6,24.9,42.8,5.9,3.21,2.99
2011-11-01 17:45:00+00:00,100,4.675,18.5,3.47,3.47,5.22,,2.71,225.0,110.0,20.0,225.0,212.6,17.9,10.6,18.1,1.2,3.96,1.97
2011-11-01 18:00:00+00:00,100,4.35,16.53,3.83,3.83,4.9,,2.64,245.0,110.0,20.0,240.3,226.8,19.4,10.6,19.2,1.1,3.8,2.16
2011-11-01 18:15:00+00:00,100,4.525,12.16,3.83,3.83,5.07,,2.59,378.0,110.0,20.0,395.0,323.0,103.3,55.1,97.6,5.8,2.69,2.63
2011-11-01 22:30:00+00:00,100,4.775,15.42,3.6,3.6,5.32,,2.77,274.0,110.0,20.0,298.3,267.8,43.7,23.4,40.7,2.8,3.23,2.83
2011-11-01 22:45:00+00:00,100,4.65,15.52,2.8,2.8,5.2,,2.86,240.0,110.0,20.0,273.6,241.3,46.0,25.0,40.7,2.8,3.34,3.78
2011-11-02 00:00:00+00:00,100,4.075,12.97,3.85,3.85,4.63,,3.27,355.0,110.0,20.0,301.7,271.5,43.5,22.6,44.1,2.0,3.18,1.96
2011-11-02 01:00:00+00:00,100,3.875,11.92,3.13,3.13,4.43,,3.24,305.0,110.0,20.0,314.2,276.9,53.5,28.3,52.3,2.2,3.08,2.27
2011-11-02 04:30:00+00:00,50,4.35,14.91,3.58,3.58,4.9,,3.39,275.0,110.0,20.0,260.9,225.4,50.0,26.8,50.5,2.7,3.43,2.15
2011-11-02 04:45:00+00:00,50,5.325,18.07,3.83,3.83,5.88,,3.63,250.0,110.0,20.0,253.0,212.7,56.7,30.4,57.6,4.6,3.39,2.12
2011-11-02 05:00:00+00:00,50,5.725,21.75,3.33,3.33,6.28,,3.88,225.0,110.0,20.0,219.0,192.9,35.3,18.9,44.5,3.5,3.8,1.21
2011-11-02 06:00:00+00:00,70,8.175,30.59,3.83,3.83,8.82,0.1,4.9,228.0,110.0,20.0,222.4,192.4,43.1,25.7,51.3,9.5,3.74,1.57
2011-11-02 06:15:00+00:00,50,8.025,31.19,6.35,6.35,8.57,,5.12,235.0,110.0,20.0,198.5,165.7,42.5,22.4,51.6,8.0,3.89,1.37
2011-11-02 07:15:00+00:00,50,9.3,33.71,6.32,6.32,9.85,,5.79,248.0,110.0,20.0,220.3,176.3,56.8,30.5,76.1,14.6,3.63,1.13
2011-11-02 07:45:00+00:00,50,10.45,37.65,6.65,6.65,11.0,,6.0,240.0,110.0,20.0,220.3,178.1,55.3,29.5,73.5,17.8,3.6,1.12
2011-11-02 08:30:00+00:00,50,9.25,32.32,6.63,6.63,9.8,,6.22,250.0,110.0,20.0,223.7,172.2,66.5,36.2,85.9,16.8,3.49,1.27
2011-11-02 09:00:00+00:00,50,9.375,34.81,6.32,6.32,9.93,,6.32,245.0,110.0,20.0,210.5,168.3,52.4,28.8,76.2,14.1,3.71,1.01
2011-11-02 09:15:00+00:00,50,9.7,35.93,7.8,7.8,10.25,,6.36,244.0,110.0,20.0,203.6,160.8,56.2,30.2,65.3,15.4,3.7,1.58
2011-11-02 10:45:00+00:00,50,10.525,35.61,9.4,9.4,11.07,,6.56,319.0,110.0,20.0,221.1,170.7,67.0,35.8,80.6,21.3,3.38,1.44
2011-11-02 11:30:00+00:00,50,9.025,31.57,7.0,7.0,9.57,,6.59,269.0,110.0,20.0,222.9,168.0,73.0,39.9,83.3,17.4,3.5,1.68
2011-11-02 12:15:00+00:00,50,10.6,35.56,8.6,8.6,11.15,,6.49,284.0,110.0,20.0,233.9,179.4,73.2,38.9,86.0,23.5,3.36,1.49
2011-11-02 12:45:00+00:00,50,9.05,33.67,7.78,7.78,9.6,,6.3,265.0,110.0,20.0,202.7,162.9,51.8,27.6,60.5,12.4,3.72,1.54
2011-11-02 13:15:00+00:00,50,9.075,33.01,6.82,6.82,9.63,,6.02,259.0,110.0,20.0,215.3,172.2,55.3,29.3,70.8,13.3,3.64,1.22
2011-11-02 13:45:00+00:00,50,10.125,35.47,6.05,6.05,10.68,,5.65,235.0,110.0,20.0,227.1,185.6,55.7,29.6,69.0,16.7,3.5,1.27
2011-11-02 14:15:00+00:00,70,7.8,30.16,4.1,4.1,8.35,,5.21,220.0,110.0,20.0,208.5,181.5,35.2,20.0,50.9,7.0,3.87,1.0
2011-11-02 14:30:00+00:00,50,9.45,33.42,6.65,6.65,10.0,,4.97,250.0,110.0,20.0,231.0,189.6,56.5,29.6,65.2,14.4,3.54,1.47
