Time,CS,foF2,MUFD,fmin,fminF,fxI,foF2p,hF,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2012-02-01 02:15:00+00:00,100,2.9,9.67,2.17,2.17,3.45,2.98,310.0,110.0,20.0,288.6,262.4,37.5,18.9,42.2,0.9,3.34,1.4
2012-02-01 05:30:00+00:00,70,4.875,17.67,2.67,2.67,5.43,3.89,234.0,110.0,20.0,231.0,200.0,42.3,23.3,50.6,3.1,3.62,1.44
2012-02-01 05:45:00+00:00,50,6.275,22.5,3.7,3.7,6.82,4.1,219.0,110.0,20.0,228.6,190.3,53.4,28.9,55.9,6.2,3.59,1.99
2012-02-01 06:00:00+00:00,70,6.425,25.65,3.4,3.4,6.97,4.29,209.0,110.0,20.0,203.3,179.7,31.6,17.7,41.2,4.2,3.99,1.2
2012-02-01 06:15:00+00:00,100,6.425,26.37,2.53,2.53,6.97,4.47,213.0,110.0,20.0,200.1,184.5,20.4,12.5,30.4,3.2,4.1,1.0
2012-02-01 06:30:00+00:00,70,7.3,28.5,3.33,3.33,7.85,4.64,208.0,110.0,20.0,204.1,179.0,33.6,19.3,44.0,5.9,3.9,1.23
2012-02-01 06:45:00+00:00,70,7.05,27.7,3.4,3.4,7.6,4.79,208.0,110.0,20.0,200.7,175.3,33.5,19.7,45.5,5.7,3.93,1.19
2012-02-01 07:00:00+00:00,70,7.0,26.8,2.45,4.05,7.55,4.93,219.0,103.7,13.4,202.4,168.8,40.8,24.7,62.9,7.0,3.83,1.01
2012-02-01 07:15:00+00:00,70,7.0,24.38,3.53,3.53,7.55,5.06,214.0,110.0,20.0,227.9,176.9,69.8,39.2,73.9,10.4,3.48,2.08
2012-02-01 07:30:00+00:00,70,7.575,28.78,3.65,3.65,8.13,5.18,219.0,110.0,20.0,209.8,180.9,36.9,22.4,55.1,7.4,3.8,1.02
2012-02-01 07:45:00+00:00,70,7.35,27.39,3.72,3.72,7.9,5.28,210.0,110.0,20.0,210.2,172.3,50.7,29.5,61.7,8.8,3.73,1.54
2012-02-01 08:00:00+00:00,50,8.175,29.22,6.3,6.3,8.73,5.38,240.0,110.0,20.0,216.6,167.9,64.9,35.5,73.7,12.8,3.58,1.71
2012-02-01 08:15:00+00:00,70,7.6,29.17,3.7,3.7,8.15,5.48,219.0,110.0,20.0,206.7,176.8,37.6,23.2,57.7,7.7,3.84,1.0
2012-02-01 08:30:00+00:00,50,7.775,27.89,7.4,7.4,8.32,5.56,287.5,110.0,20.0,204.8,159.0,61.2,33.6,66.7,10.9,3.59,1.92
2012-02-01 08:45:00+00:00,50,7.975,29.33,6.22,6.22,8.52,5.65,235.0,110.0,20.0,205.0,159.5,58.9,32.3,69.7,11.2,3.68,1.59
2012-02-01 09:15:00+00:00,50,7.8,26.1,7.5,7.5,8.35,5.8,328.0,110.0,20.0,212.7,160.4,69.4,38.2,78.5,12.4,3.35,1.77
