Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fxI,FF,foF2p,minEs,hF,hF2,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2012-04-01 00:30:00+00:00,100,4.175,,12.07,2.63,,2.63,4.72,,3.11,,319.0,,,110.0,20.0,339.5,,291.2,69.4,,36.6,68.0,3.3,2.89,2.24,
2012-04-01 00:45:00+00:00,100,3.875,,11.78,2.6,,2.6,4.43,,3.08,,319.0,,,110.0,20.0,319.9,,281.6,55.3,,28.6,56.8,2.3,3.04,1.87,
2012-04-01 01:15:00+00:00,100,4.475,,12.8,3.42,,3.42,5.03,,3.01,,344.0,,,110.0,20.0,344.1,,295.1,70.7,,37.0,70.1,3.9,2.86,2.12,
2012-04-01 01:30:00+00:00,100,4.45,,12.6,1.63,,1.63,5.0,,2.98,,285.0,,,110.0,20.0,347.1,,287.2,85.4,,45.3,79.6,4.6,2.83,2.8,
2012-04-01 01:45:00+00:00,100,4.675,,12.88,2.88,,2.88,5.22,,2.95,,320.0,,,110.0,20.0,360.6,,301.5,84.7,,45.0,80.4,5.1,2.76,2.56,
2012-04-01 03:00:00+00:00,100,4.475,,13.73,3.22,,3.22,5.03,,3.04,,329.0,,,110.0,20.0,314.9,,275.8,56.7,,28.6,61.1,3.1,3.07,1.55,
2012-04-01 03:30:00+00:00,100,4.225,,12.39,2.5,,2.5,4.78,,3.24,,300.0,,,110.0,20.0,321.6,,266.3,78.7,,41.8,78.9,3.9,2.93,2.14,
2012-04-01 03:45:00+00:00,50,4.5,,13.19,3.28,,3.28,5.05,,3.38,,315.0,,,110.0,20.0,314.8,,256.5,82.2,,43.8,84.1,4.7,2.93,2.04,
2012-04-01 04:00:00+00:00,70,4.475,,14.89,2.88,,2.88,5.03,,3.54,,278.0,,,110.0,20.0,262.0,,221.7,54.5,,28.9,66.8,3.2,3.33,1.29,
2012-04-01 04:15:00+00:00,70,5.975,,18.67,3.1,,3.1,6.53,,3.72,,248.0,,,110.0,20.0,277.4,,217.4,84.3,,45.6,85.3,8.6,3.12,2.18,
2012-04-01 04:45:00+00:00,70,7.525,,28.08,3.22,,3.22,8.07,,4.1,,229.0,,,110.0,20.0,224.2,,198.7,35.0,,20.0,47.1,6.5,3.73,1.1,
2012-04-01 05:00:00+00:00,70,7.825,,30.59,3.28,,3.28,8.38,,4.28,,224.0,,,110.0,20.0,212.4,,192.2,27.3,,16.2,40.1,5.9,3.91,1.0,
2012-04-01 05:15:00+00:00,70,7.6,,28.28,3.47,,3.47,8.38,0.22,4.46,,219.0,,,110.0,20.0,216.6,,184.5,44.0,,25.3,53.0,8.1,3.72,1.49,
2012-04-01 05:30:00+00:00,100,7.663,3.46,28.27,3.22,,3.22,8.27,0.08,4.61,,220.0,219.0,,110.0,20.0,229.0,189.7,202.2,36.8,3.8,20.8,36.8,6.8,3.69,2.44,0.5
2012-04-01 05:45:00+00:00,70,7.1,,28.3,3.42,,3.42,7.65,,4.75,,224.0,,,110.0,20.0,204.3,,182.5,26.1,,17.1,46.0,5.3,3.99,1.0,
2012-04-01 06:00:00+00:00,70,6.675,,26.38,3.58,,3.58,7.22,,4.86,,224.0,,,110.0,20.0,200.7,,173.8,31.1,,20.1,54.2,5.3,3.95,1.0,
2012-04-01 06:15:00+00:00,70,7.975,,27.83,4.07,,4.07,8.55,0.03,4.96,,234.0,,,110.0,20.0,230.6,,187.7,55.9,,32.7,73.8,11.6,3.49,1.27,
2012-04-01 06:30:00+00:00,70,8.225,,32.04,4.13,,4.13,8.77,,5.04,,238.0,,,110.0,20.0,208.9,,184.3,29.5,,19.2,53.0,7.8,3.89,1.0,
2012-04-01 06:45:00+00:00,100,8.238,3.76,27.75,3.58,,3.58,8.88,0.1,5.12,,210.0,214.0,,110.0,20.0,243.3,160.1,194.3,64.9,16.4,37.7,73.6,13.9,3.37,1.84,0.5
2012-04-01 07:00:00+00:00,100,7.913,4.01,18.86,3.78,,3.78,8.45,,5.19,,205.0,450.0,,110.0,20.0,391.4,162.8,285.5,117.5,55.3,81.8,209.5,28.4,2.39,1.0,1.34
2012-04-01 07:15:00+00:00,100,7.975,,27.79,4.03,,4.03,8.52,,5.26,,229.0,,,110.0,20.0,229.2,,179.6,67.5,,39.4,71.1,13.6,3.48,2.17,
2012-04-01 07:30:00+00:00,70,7.825,,27.0,5.2,,5.2,8.4,0.03,5.34,,243.0,,,110.0,20.0,224.8,,169.5,69.0,,39.5,88.7,13.2,3.45,1.36,
2012-04-01 07:45:00+00:00,100,7.325,,25.35,4.38,,4.38,7.88,,5.45,,239.0,,,110.0,20.0,225.4,,169.6,71.5,,42.0,80.5,12.2,3.46,1.86,
2012-04-01 08:00:00+00:00,50,8.025,,25.12,3.67,4.3,5.82,8.57,,5.56,3.67,293.0,,110.0,110.0,20.0,252.0,,177.7,93.5,,52.4,107.6,18.1,3.13,1.56,
2012-04-01 08:15:00+00:00,100,8.482,4.79,26.62,4.3,,4.3,9.02,,5.69,,223.0,273.0,,110.0,20.0,263.0,170.7,198.4,84.1,52.0,51.4,100.2,19.9,3.14,1.76,0.54
2012-04-01 08:30:00+00:00,0,8.75,4.68,26.62,4.53,,4.53,9.3,,,,245.0,244.0,,110.0,20.0,,,,,,,,,3.04,,
2012-04-01 08:45:00+00:00,70,8.925,,27.32,5.82,,5.82,9.48,,5.99,,273.0,,,110.0,20.0,266.1,,187.2,102.5,,57.2,110.7,24.3,3.06,1.76,
2012-04-01 09:00:00+00:00,70,9.0,,28.22,5.82,,5.82,9.55,,6.15,,284.0,,,110.0,20.0,257.7,,186.9,89.4,,50.7,100.5,22.2,3.13,1.57,
2012-04-01 09:15:00+00:00,50,9.325,,28.33,6.72,,6.72,9.88,,6.31,,309.0,,,110.0,20.0,266.5,,186.8,102.2,,56.3,112.5,26.2,3.04,1.6,
2012-04-01 09:30:00+00:00,0,9.35,4.88,29.38,4.75,,4.75,9.9,,,,260.0,269.0,,110.0,20.0,,,,,,,,,3.14,,
2012-04-01 09:45:00+00:00,50,9.7,,29.47,3.97,4.82,5.2,10.25,,6.58,3.97,283.0,,100.0,110.0,20.0,275.3,,203.3,94.9,,54.7,98.5,27.8,3.04,1.93,
