Time,CS,foF2,MUFD,fmin,foEs,fminF,fxI,FF,foF2p,minEs,hF,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2012-07-19 14:46:11+00:00,70,6.1,19.86,5.0,,5.0,6.65,,5.53,,300.0,,110.0,20.0,229.9,159.5,84.7,48.2,109.6,9.7,3.26,1.4
2012-07-19 15:00:00+00:00,70,5.575,17.19,5.13,,5.13,6.13,,5.56,,348.0,,110.0,20.0,249.4,162.9,113.0,63.5,126.5,10.5,3.08,1.93
2012-07-19 16:30:00+00:00,50,5.85,18.16,5.0,,5.0,6.4,,5.78,,314.0,,110.0,20.0,260.8,187.2,98.1,54.2,107.8,9.9,3.1,1.87
2012-07-19 16:45:00+00:00,50,6.15,19.35,4.97,,4.97,6.7,,5.81,,305.0,,110.0,20.0,256.6,191.4,86.0,46.8,100.0,9.6,3.15,1.59
2012-07-19 17:00:00+00:00,50,6.25,19.11,5.0,,5.0,6.8,,5.82,,305.0,,110.0,20.0,275.2,204.4,96.1,52.1,104.4,10.9,3.06,1.83
2012-07-19 17:30:00+00:00,50,6.275,19.28,5.07,,5.07,6.82,,5.8,,315.0,,110.0,20.0,278.4,217.6,84.0,44.8,91.3,9.4,3.07,1.77
2012-07-19 17:45:00+00:00,50,6.85,20.28,5.15,,5.15,7.4,,5.77,,314.0,,110.0,20.0,305.5,240.8,91.4,48.5,94.4,12.1,2.96,1.97
2012-07-19 18:00:00+00:00,50,7.35,21.98,5.03,,5.03,7.9,,5.73,,288.0,,110.0,20.0,309.0,253.6,79.1,42.0,78.4,11.9,2.99,2.2
2012-07-19 18:15:00+00:00,50,7.4,22.65,4.97,,4.97,7.95,,5.66,,280.0,,110.0,20.0,306.2,257.7,69.6,37.0,67.5,10.6,3.06,2.37
2012-07-19 18:45:00+00:00,100,7.3,22.32,6.53,,6.53,7.85,,5.51,,342.5,,110.0,20.0,319.9,276.2,63.3,32.9,63.1,9.2,3.06,2.04
2012-07-19 19:00:00+00:00,100,7.4,22.27,5.57,,5.57,7.95,,5.43,,309.0,,110.0,20.0,321.6,279.5,61.1,31.8,60.3,9.1,3.01,2.11
2012-07-19 19:15:00+00:00,100,7.325,22.55,4.97,,4.97,7.88,,5.34,,289.0,,110.0,20.0,313.6,274.5,56.5,29.6,54.8,8.3,3.08,2.27
2012-07-19 20:00:00+00:00,100,6.75,22.08,4.97,,4.97,7.3,,5.09,,265.0,,110.0,20.0,291.8,260.6,44.9,23.8,42.4,5.6,3.27,2.59
2012-07-19 20:15:00+00:00,100,6.8,21.27,4.97,,4.97,7.35,,5.02,,283.0,,110.0,20.0,307.9,273.1,50.4,26.4,49.0,6.4,3.13,2.24
2012-07-19 20:30:00+00:00,100,6.525,19.63,4.97,,4.97,7.07,,4.95,,304.0,,110.0,20.0,327.1,286.3,59.1,30.9,57.6,6.9,3.01,2.22
2012-07-19 20:45:00+00:00,100,6.375,20.03,5.0,,5.0,6.93,,4.88,,298.0,,110.0,20.0,304.5,271.9,47.2,24.6,46.5,5.2,3.14,2.12
2012-07-19 21:00:00+00:00,100,6.325,20.12,4.97,,4.97,6.88,,4.81,,285.0,,110.0,20.0,306.5,271.7,50.2,26.4,48.2,5.5,3.18,2.38
2012-07-19 21:15:00+00:00,100,6.25,19.44,5.5,,5.5,6.8,,4.74,,328.0,,110.0,20.0,314.9,279.2,51.8,26.8,51.4,5.5,3.11,2.06
2012-07-19 21:30:00+00:00,100,6.15,19.11,5.5,,5.5,6.7,,4.65,,329.0,,110.0,20.0,317.1,280.9,52.5,27.2,52.3,5.4,3.11,2.04
2012-07-19 21:45:00+00:00,100,5.65,18.82,5.0,,5.0,6.2,,4.56,,300.0,,110.0,20.0,286.8,260.7,37.8,19.6,37.6,3.3,3.33,2.04
2012-07-20 05:45:00+00:00,70,6.15,19.51,5.13,,5.13,6.7,,4.76,,298.0,,110.0,20.0,243.2,168.9,96.3,53.8,109.0,10.9,3.17,1.79
2012-07-20 06:15:00+00:00,70,6.9,22.0,4.97,,4.97,7.45,,4.94,,289.0,,110.0,20.0,244.2,175.0,83.5,47.8,106.5,12.4,3.19,1.35
2012-07-20 06:30:00+00:00,70,7.225,24.34,5.68,,5.68,7.78,,5.0,,264.0,,110.0,20.0,225.7,163.6,79.2,44.1,94.7,12.4,3.37,1.57
2012-07-20 06:45:00+00:00,70,7.3,24.7,5.55,,5.55,7.85,,5.05,,264.0,,110.0,20.0,224.8,163.4,76.6,43.0,95.4,12.4,3.38,1.45
2012-07-20 07:00:00+00:00,50,6.875,22.94,5.93,,5.93,7.43,,5.07,,283.0,,110.0,20.0,226.3,159.2,88.1,49.2,98.6,12.4,3.34,1.87
2012-07-20 07:30:00+00:00,70,5.575,18.43,5.07,,5.07,6.13,,5.11,,334.0,,110.0,20.0,216.9,144.2,92.1,52.2,107.9,8.6,3.31,1.81
2012-07-20 07:45:00+00:00,50,7.025,23.45,6.15,,6.15,7.57,,5.13,,314.0,,110.0,20.0,216.3,153.2,76.0,42.5,106.4,11.3,3.34,1.23
2012-07-20 09:00:00+00:00,50,6.8,20.59,6.38,,6.38,7.35,,5.36,,370.0,,110.0,20.0,238.7,155.7,106.0,59.5,122.8,14.5,3.03,1.74
2012-07-20 09:45:00+00:00,50,7.05,21.81,6.25,,6.25,7.6,,5.58,,345.0,,110.0,20.0,234.4,155.4,96.6,54.4,121.0,14.4,3.09,1.46
2012-07-20 10:00:00+00:00,50,6.825,23.23,6.35,,6.35,7.38,,5.64,,319.0,,110.0,20.0,199.1,141.6,72.3,40.5,90.5,10.0,3.4,1.54
2012-07-20 10:45:00+00:00,70,6.625,19.19,6.05,,6.05,7.18,,5.75,,385.0,,110.0,20.0,254.1,157.3,121.7,68.7,142.5,15.8,2.9,1.7
2012-07-20 12:15:00+00:00,70,7.3,21.06,5.68,,5.68,7.85,,5.62,,333.0,,110.0,20.0,269.9,172.6,119.1,67.6,135.4,19.1,2.88,1.62
2012-07-20 12:30:00+00:00,50,7.475,23.23,7.07,,7.07,8.05,0.03,5.58,,362.0,,110.0,20.0,230.0,158.2,92.1,51.2,107.8,15.2,3.11,1.65
2012-07-20 12:45:00+00:00,50,7.85,24.1,6.53,,6.53,8.4,,5.55,,323.0,,110.0,20.0,249.8,168.8,102.4,56.9,117.9,18.6,3.07,1.61
2012-07-20 13:00:00+00:00,50,7.8,24.33,6.15,,6.15,8.35,,5.52,,304.0,,110.0,20.0,247.9,169.1,99.2,55.4,113.6,18.0,3.12,1.62
2012-07-20 13:15:00+00:00,70,7.625,24.49,5.63,,5.63,8.18,,5.5,,289.0,,110.0,20.0,245.2,169.8,94.1,53.4,107.2,16.6,3.21,1.65
2012-07-20 13:30:00+00:00,50,7.9,23.61,6.05,,6.05,8.45,,5.49,,300.0,,110.0,20.0,270.4,180.1,116.9,64.9,127.8,21.4,2.99,1.78
2012-07-20 13:45:00+00:00,50,7.35,24.35,6.15,,6.15,7.9,,5.48,,309.0,,110.0,20.0,225.2,159.9,78.7,43.7,110.3,12.8,3.31,1.19
