Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fxI,FF,foF2p,minEs,hF,hF2,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2012-09-01 00:00:00+00:00,100,4.7,,13.99,2.67,,2.67,5.35,0.1,3.45,,286.0,,,110.0,20.0,324.4,280.3,63.1,33.6,59.0,3.9,2.98,2.75
2012-09-01 00:30:00+00:00,100,4.65,,13.35,2.67,,2.67,5.2,,3.38,,291.0,,,110.0,20.0,342.0,287.1,78.2,42.2,70.2,4.7,2.87,3.46
2012-09-01 00:45:00+00:00,100,4.4,,12.44,1.8,,1.8,4.95,,3.33,,277.0,,,110.0,20.0,341.1,282.0,84.0,44.7,77.0,4.4,2.83,3.05
2012-09-01 01:00:00+00:00,100,4.525,,12.79,2.83,,2.83,5.07,,3.26,,313.5,,,110.0,20.0,348.5,295.0,76.8,40.6,74.0,4.3,2.83,2.38
2012-09-01 01:15:00+00:00,100,4.4,,12.45,2.55,,2.55,4.95,,3.19,,303.5,,,110.0,20.0,349.8,291.2,83.5,44.9,76.2,4.5,2.83,3.17
2012-09-01 01:30:00+00:00,100,4.15,,12.07,3.75,,3.75,4.7,,3.12,,383.5,,,110.0,20.0,338.3,291.1,68.1,35.4,68.6,3.2,2.91,2.0
2012-09-01 01:45:00+00:00,100,4.025,,11.5,3.13,,3.13,4.68,0.1,3.05,,343.5,,,110.0,20.0,344.9,292.9,74.8,39.5,73.3,3.4,2.86,2.24
2012-09-01 02:00:00+00:00,100,3.25,,10.86,2.67,,2.67,3.8,,2.99,,317.0,,,110.0,20.0,282.3,255.5,38.4,19.4,42.1,1.1,3.34,1.51
2012-09-01 02:15:00+00:00,100,4.05,,11.73,2.92,,2.92,4.6,,2.95,,322.5,,,110.0,20.0,336.0,284.8,73.5,38.8,71.6,3.3,2.9,2.29
2012-09-01 02:30:00+00:00,100,3.8,,11.58,2.55,,2.55,4.35,,2.94,,305.0,,,110.0,20.0,314.7,272.0,61.4,32.3,61.0,2.5,3.05,2.13
2012-09-01 02:45:00+00:00,100,4.05,,11.87,2.8,,2.8,4.68,0.08,2.96,,316.0,,,110.0,20.0,328.7,279.0,71.4,37.7,70.3,3.2,2.93,2.21
2012-09-01 03:00:00+00:00,100,4.025,,11.66,1.8,,1.8,4.57,,3.0,,277.0,,,110.0,20.0,327.4,269.2,82.8,44.2,78.3,3.7,2.9,2.67
2012-09-01 03:15:00+00:00,100,4.05,,11.78,2.6,,2.6,4.6,,3.08,,302.5,,,110.0,20.0,325.7,267.8,82.5,44.1,80.7,3.8,2.91,2.35
2012-09-01 03:30:00+00:00,70,3.925,,12.31,2.65,,2.65,4.47,,3.19,,296.0,,,110.0,20.0,291.9,246.9,63.0,33.4,68.1,2.8,3.14,1.74
2012-09-01 03:45:00+00:00,70,4.2,,13.93,2.65,,2.65,4.75,,3.33,,273.5,,,110.0,20.0,265.5,226.3,53.4,28.5,63.3,2.8,3.32,1.41
2012-09-01 04:00:00+00:00,70,5.3,,17.67,2.78,,2.78,5.85,,3.48,,250.0,,,110.0,20.0,257.2,213.1,61.4,33.5,67.5,5.1,3.33,1.75
2012-09-01 04:15:00+00:00,70,6.175,,20.8,2.67,,2.67,6.72,,3.65,,235.0,,,110.0,20.0,250.0,206.1,61.6,34.0,66.1,7.0,3.37,1.89
