Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,FE,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2014-03-01 00:00:00+00:00,100,5.375,,16.17,2.2,,2.2,,,5.93,,,3.2,,266.0,,,,110.0,20.0,320.1,272.6,67.3,36.0,60.4,5.3,3.01,3.4
2014-03-01 00:15:00+00:00,100,4.95,,15.85,2.45,,2.45,,,5.5,,,3.23,,263.5,,,,110.0,20.0,298.1,262.9,50.1,26.9,45.2,3.4,3.2,3.35
2014-03-01 00:30:00+00:00,100,4.825,,14.06,1.88,,1.88,,,5.38,,,3.23,,249.5,,,,110.0,20.0,316.3,261.2,78.1,41.4,70.8,4.9,2.91,3.2
2014-03-01 00:45:00+00:00,100,5.15,,15.49,1.77,,1.77,,,5.7,,,3.21,,251.0,,,,110.0,20.0,315.2,261.7,75.8,40.3,68.4,5.5,3.01,3.3
2014-03-01 01:00:00+00:00,100,4.9,,15.14,2.0,,2.0,,,5.45,,,3.17,,253.5,,,,110.0,20.0,305.4,259.0,65.7,35.1,58.9,4.3,3.09,3.44
2014-03-01 01:15:00+00:00,100,4.9,,15.02,1.85,,1.85,,,5.45,,,3.1,,253.5,,,,110.0,20.0,308.1,260.3,67.9,36.2,61.3,4.4,3.07,3.3
2014-03-01 01:30:00+00:00,100,4.425,,14.59,1.7,,1.7,,,4.97,,,3.03,,243.5,,,,110.0,20.0,280.4,246.0,49.0,26.0,45.5,2.6,3.3,2.84
2014-03-01 01:45:00+00:00,100,4.1,,12.81,1.73,,1.73,,,4.65,,,2.94,,241.0,,,,110.0,20.0,290.2,245.9,62.8,33.5,56.4,2.9,3.13,3.38
2014-03-01 02:00:00+00:00,100,4.675,,13.7,2.05,,2.05,,,5.22,,,2.85,,252.5,,,,110.0,20.0,325.6,265.8,84.4,45.6,73.5,5.0,2.93,4.12
2014-03-01 02:15:00+00:00,100,4.075,,13.32,1.85,,1.85,,,4.63,,,2.78,,253.5,,,,110.0,20.0,286.6,252.3,48.8,26.1,45.0,2.2,3.27,2.99
2014-03-01 02:30:00+00:00,100,4.45,,13.24,1.77,,1.77,,,5.0,,,2.72,,246.0,,,,110.0,20.0,316.3,257.1,83.6,44.8,73.6,4.5,2.98,3.81
2014-03-01 02:45:00+00:00,100,4.475,,13.24,2.0,,2.0,,,5.03,,,2.68,,256.0,,,,110.0,20.0,321.6,265.0,79.9,43.0,70.1,4.4,2.96,3.94
2014-03-01 03:00:00+00:00,100,4.2,,13.13,1.9,,1.9,,,4.75,,,2.68,,248.5,,,,110.0,20.0,298.5,253.0,64.5,34.7,57.3,3.1,3.13,3.66
2014-03-01 03:15:00+00:00,100,4.325,,13.6,1.88,,1.88,,,4.88,,,2.72,,246.0,,,,110.0,20.0,293.5,250.8,60.6,32.3,54.8,3.1,3.14,3.26
2014-03-01 03:30:00+00:00,100,3.5,,11.6,1.73,,1.73,,,4.05,,,2.8,,231.0,,,,110.0,20.0,271.2,231.9,55.6,29.9,49.3,1.9,3.31,3.71
2014-03-01 03:45:00+00:00,100,3.475,,10.89,1.7,,1.7,,,4.03,,,2.91,,232.5,,,,110.0,20.0,290.7,237.5,75.1,40.5,64.3,2.5,3.13,4.48
2014-03-01 04:00:00+00:00,100,3.425,,10.61,1.73,,1.73,,,3.97,,,3.06,,248.5,,,,110.0,20.0,297.2,246.2,72.3,38.9,64.4,2.3,3.1,3.59
2014-03-01 04:15:00+00:00,100,3.675,,10.42,2.08,,2.08,,,4.22,,,3.23,,272.5,,,,110.0,20.0,334.2,263.2,100.9,54.6,90.8,3.8,2.84,3.44
2014-03-01 04:30:00+00:00,70,4.0,,11.76,1.85,,1.85,,,4.55,,,3.42,,256.0,,,,110.0,20.0,312.1,246.4,92.9,49.9,87.8,4.2,2.94,2.75
2014-03-01 04:45:00+00:00,70,4.85,,14.61,2.5,,2.5,,,5.4,,,3.63,,257.5,,,,110.0,20.0,300.2,236.6,90.0,48.7,87.2,6.0,3.01,2.52
2014-03-01 05:00:00+00:00,70,5.85,,18.83,2.42,,2.42,,,6.4,,,3.85,,237.5,,,,110.0,20.0,269.1,218.3,71.5,38.9,74.0,7.1,3.22,2.05
2014-03-01 05:15:00+00:00,70,6.85,,22.96,2.42,,2.42,,,7.4,,,4.06,,230.0,,,,110.0,20.0,253.9,209.1,63.2,34.7,64.6,8.8,3.35,2.13
2014-03-01 05:30:00+00:00,100,7.575,,25.48,2.6,,2.6,,,8.13,,,4.27,,225.0,,,,110.0,20.0,251.2,204.0,66.4,36.4,67.2,11.2,3.36,2.2
2014-03-01 05:45:00+00:00,50,8.525,,30.44,4.32,,4.32,,,9.07,,,4.47,,235.0,,,,110.0,20.0,233.1,197.4,48.8,26.6,61.6,10.8,3.57,1.23
2014-03-01 06:00:00+00:00,70,8.625,,31.46,3.42,,3.42,,,9.18,,,4.65,,225.0,,,,110.0,20.0,226.2,195.6,42.6,24.3,51.1,10.1,3.65,1.45
2014-03-01 06:15:00+00:00,70,8.95,,32.15,1.88,2.3,3.4,1.88,2.31,9.5,,0.05,4.83,1.88,220.0,,107.5,107.5,102.2,12.0,226.0,189.7,50.3,28.6,57.9,12.6,3.59,1.62
2014-03-01 06:30:00+00:00,70,9.575,,28.78,3.4,,3.4,,,10.13,,,4.99,,216.0,,,,110.0,20.0,294.1,201.5,128.1,67.9,137.7,32.4,3.01,1.93
2014-03-01 06:45:00+00:00,0,10.7,,34.15,4.63,,4.63,,,11.25,,,5.14,,237.5,,,,110.0,20.0,266.0,209.4,78.7,43.2,82.8,26.6,3.19,1.92
2014-03-01 07:00:00+00:00,70,10.475,,36.16,4.88,,4.88,,,11.02,,,5.28,,243.5,,,,110.0,20.0,241.6,201.0,55.4,31.1,70.1,19.0,3.45,1.26
2014-03-01 07:15:00+00:00,0,11.075,,37.06,3.83,,3.83,,,11.63,,,5.42,,225.0,,,,110.0,20.0,251.2,205.7,63.3,35.2,69.4,23.5,3.35,1.78
2014-03-01 07:30:00+00:00,70,11.1,,36.59,4.25,,4.25,,,11.65,,,5.56,,223.5,,,,110.0,20.0,254.5,202.8,71.8,39.8,76.2,26.5,3.3,1.92
2014-03-01 07:45:00+00:00,70,10.5,,34.39,4.6,,4.6,,,11.05,,,5.69,,223.5,,,,110.0,20.0,253.6,196.6,78.4,43.3,83.0,25.7,3.28,1.93
2014-03-01 08:00:00+00:00,100,11.038,4.14,36.65,3.92,,3.92,,,11.57,,,5.82,,208.5,231.0,,,110.0,20.0,254.5,207.2,62.7,36.2,72.2,24.0,3.32,1.73
2014-03-01 08:15:00+00:00,70,8.075,,30.95,4.95,,4.95,,,8.63,,,5.95,,235.0,,,,110.0,20.0,203.3,168.0,41.2,24.8,66.6,9.3,3.83,1.0
2014-03-01 08:30:00+00:00,50,9.375,,33.03,8.18,,8.18,,,10.55,0.63,,6.07,,290.0,,,,110.0,20.0,210.3,163.2,61.1,32.7,75.4,15.6,3.52,1.38
2014-03-01 08:45:00+00:00,50,11.0,,34.77,7.65,,7.65,,,11.55,,,6.19,,286.0,,,,110.0,20.0,259.9,193.2,88.5,47.3,100.1,30.8,3.16,1.49
2014-03-01 09:00:00+00:00,50,10.825,,35.11,7.43,,7.43,,,11.38,,,6.29,,283.5,,,,110.0,20.0,251.2,189.3,81.0,43.4,98.5,27.6,3.24,1.31
2014-03-01 09:15:00+00:00,0,12.975,,39.01,6.13,,6.13,,,13.52,,,6.38,,276.0,,,,110.0,20.0,290.8,222.3,94.7,52.0,96.6,47.2,3.01,1.89
2014-03-01 09:30:00+00:00,0,13.0,,40.22,6.15,,6.15,,,13.55,,,6.44,,271.0,,,,110.0,20.0,278.1,216.5,84.9,46.8,88.3,42.9,3.09,1.81
2014-03-01 09:45:00+00:00,70,12.725,,39.06,5.0,,5.0,,,13.27,,,6.49,,253.5,,,,110.0,20.0,281.3,216.4,90.6,50.4,92.5,43.7,3.07,2.09
2014-03-01 10:00:00+00:00,50,11.05,,36.48,6.68,,6.68,,,11.6,,,6.52,,263.5,,,,110.0,20.0,246.6,190.3,73.4,40.0,93.3,26.8,3.3,1.22
2014-03-01 10:15:00+00:00,50,10.45,,35.08,6.18,,6.18,,,11.0,,,6.53,,256.0,,,,110.0,20.0,240.3,186.6,69.2,38.4,90.6,23.0,3.36,1.19
2014-03-01 10:30:00+00:00,70,11.2,,37.62,6.03,,6.03,,,11.75,,,6.53,,261.0,,,,110.0,20.0,246.0,196.3,65.1,36.6,85.4,25.4,3.36,1.17
2014-03-01 10:45:00+00:00,50,11.025,,35.87,2.63,2.83,6.15,,,11.57,,,6.51,2.63,253.5,,,100.0,110.0,20.0,251.7,193.5,76.7,42.3,90.1,28.0,3.25,1.43
2014-03-01 11:00:00+00:00,50,10.35,,34.75,7.47,,7.47,,,10.9,,,6.48,,282.5,,,,110.0,20.0,236.5,178.7,73.5,39.5,99.0,23.1,3.36,1.13
2014-03-01 11:15:00+00:00,70,7.575,,28.45,5.63,,5.63,,,8.43,0.3,,6.45,,265.0,,,,110.0,20.0,203.2,156.6,50.7,29.7,83.6,9.6,3.76,1.0
2014-03-01 11:30:00+00:00,50,10.675,,36.08,7.25,,7.25,,,11.23,,,6.42,,286.0,,,,110.0,20.0,240.7,185.1,70.3,37.8,99.9,23.8,3.38,1.01
2014-03-01 11:45:00+00:00,50,9.45,,34.34,7.3,,7.3,,,10.43,0.43,,6.39,,272.5,,,,110.0,20.0,211.5,163.3,59.1,31.5,87.1,15.5,3.63,1.0
2014-03-01 12:00:00+00:00,0,11.15,4.65,35.34,4.68,,4.68,,,11.7,,,,,222.5,223.8,,,110.0,20.0,,,,,,,3.17,
2014-03-01 12:15:00+00:00,70,10.55,,34.24,5.18,,5.18,,,11.1,,,6.36,,272.0,,,,110.0,20.0,259.8,208.9,67.9,39.4,79.3,24.3,3.24,1.51
