Time,CS,foF2,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,FE,foF2p,minEs,hF,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2014-06-01 00:00:00+00:00,100,6.575,18.34,1.83,,1.83,,,7.13,,,3.93,,250.5,,,110.0,20.0,339.0,272.2,94.9,49.9,87.5,11.0,2.79,2.91
2014-06-01 00:15:00+00:00,100,4.975,16.6,2.0,,2.0,,,5.53,,,3.85,,257.0,,,110.0,20.0,281.9,254.3,39.8,20.9,38.8,2.7,3.34,2.24
2014-06-01 00:30:00+00:00,100,4.0,10.32,3.67,,3.67,,,4.55,,,3.78,,505.0,,,110.0,20.0,384.4,322.7,89.3,45.3,94.7,3.9,2.58,1.65
2014-06-01 00:45:00+00:00,100,3.725,9.96,2.92,,2.92,,,4.28,,,3.71,,458.5,,,110.0,20.0,380.0,323.3,82.3,40.5,94.5,3.1,2.67,1.26
2014-06-01 01:00:00+00:00,100,6.1,17.68,2.42,5.68,2.42,,,6.78,0.13,,3.64,2.45,270.0,,97.0,110.0,20.0,334.3,277.4,80.8,43.1,73.3,8.2,2.9,3.22
2014-06-01 01:15:00+00:00,100,6.225,18.69,2.5,6.25,2.8,,,6.78,,,3.59,2.53,276.0,,98.0,110.0,20.0,321.8,274.8,67.3,35.7,62.6,7.1,3.0,2.8
2014-06-01 01:30:00+00:00,100,5.175,18.01,2.45,5.18,4.55,,,5.72,,,3.54,2.45,295.0,,100.0,110.0,20.0,267.6,245.2,32.6,16.7,33.3,2.4,3.48,1.86
2014-06-01 01:45:00+00:00,100,6.125,18.87,2.42,5.1,4.6,,,6.68,,,3.51,2.42,294.5,,99.0,110.0,20.0,310.9,270.7,58.1,30.5,56.8,6.0,3.08,2.22
2014-06-01 02:00:00+00:00,100,5.5,18.37,2.42,4.07,3.05,,,6.05,,,3.49,2.42,253.5,,104.0,110.0,20.0,275.8,243.4,46.3,24.7,44.0,3.9,3.34,2.57
2014-06-01 02:15:00+00:00,100,5.075,17.64,2.63,3.55,3.45,,,5.63,,,3.5,2.63,253.5,,101.0,110.0,20.0,260.0,232.9,38.8,20.5,38.5,2.8,3.48,2.16
2014-06-01 02:30:00+00:00,50,5.225,17.55,2.03,3.5,2.92,,,5.78,,,3.53,2.03,238.5,,103.0,110.0,20.0,266.8,230.3,52.0,28.0,48.2,4.0,3.36,2.97
2014-06-01 02:45:00+00:00,70,5.05,15.64,2.75,,2.75,,,5.6,,,3.59,,232.5,,,110.0,20.0,288.5,229.8,83.1,44.6,74.8,5.9,3.1,3.38
2014-06-01 03:00:00+00:00,70,5.65,17.65,2.67,,2.67,,,6.2,,,3.68,,256.0,,,110.0,20.0,284.4,231.7,74.1,39.9,78.4,6.8,3.12,1.89
2014-06-01 03:15:00+00:00,70,5.425,17.87,1.48,2.17,2.5,1.48,1.58,5.97,,0.05,3.8,1.6,253.5,125.0,121.0,103.4,13.3,257.6,211.1,63.2,36.1,73.9,5.9,3.29,1.61
2014-06-01 03:30:00+00:00,70,5.8,18.83,2.47,,2.47,,,6.35,,,3.93,,250.0,,,110.0,20.0,262.5,213.3,68.4,38.3,74.3,7.0,3.25,1.87
2014-06-01 03:45:00+00:00,50,6.2,19.94,2.45,2.88,2.9,,,6.75,,,4.09,2.45,243.5,,116.0,110.0,20.0,263.7,209.2,74.2,41.4,82.7,8.7,3.22,1.77
