Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FE,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2014-09-01 00:00:00+00:00,100,5.1,,14.08,2.78,,2.78,,,5.65,,3.45,,333.5,,,,110.0,20.0,365.5,309.4,81.0,42.3,79.6,5.8,2.76,2.17
2014-09-01 00:15:00+00:00,100,5.15,,14.01,2.8,,2.8,,,5.7,,3.42,,335.0,,,,110.0,20.0,372.2,312.3,86.3,45.4,83.6,6.3,2.72,2.31
2014-09-01 00:30:00+00:00,100,5.05,,13.84,2.67,,2.67,,,5.6,,3.38,,330.0,,,,110.0,20.0,368.4,309.5,84.8,44.7,82.2,5.9,2.74,2.31
2014-09-01 00:45:00+00:00,100,4.95,,13.57,2.88,,2.88,,,5.5,,3.33,,338.5,,,,110.0,20.0,368.3,310.4,83.6,43.8,82.1,5.6,2.74,2.18
2014-09-01 01:00:00+00:00,100,4.125,,12.43,2.92,,2.92,,,4.68,,3.26,,338.5,,,,110.0,20.0,325.9,286.7,56.8,29.0,59.9,2.6,3.01,1.68
2014-09-01 01:15:00+00:00,100,5.025,,14.19,2.05,,2.05,,,5.57,,3.19,,301.0,,,,110.0,20.0,351.4,296.0,79.4,41.9,76.0,5.5,2.82,2.45
2014-09-01 01:30:00+00:00,100,5.125,,14.76,2.08,,2.08,,,5.68,,3.12,,282.5,,,,110.0,20.0,338.3,283.9,77.7,41.2,72.2,5.6,2.88,2.82
2014-09-01 01:45:00+00:00,100,5.025,,15.57,2.42,,2.42,,,5.57,,3.05,,270.0,,,,110.0,20.0,307.6,266.6,58.6,31.3,53.9,4.1,3.1,2.99
2014-09-01 02:00:00+00:00,100,4.7,,14.77,1.75,,1.75,,,5.25,,2.99,,246.0,,,,110.0,20.0,296.8,251.5,64.3,34.3,58.1,3.9,3.14,3.29
2014-09-01 02:15:00+00:00,100,4.25,,12.92,2.05,,2.05,,,4.8,,2.95,,261.0,,,,110.0,20.0,308.0,261.8,65.6,35.1,59.6,3.3,3.04,3.21
2014-09-01 02:30:00+00:00,100,4.45,,12.91,1.73,,1.73,,,5.0,,2.94,,258.5,,,,110.0,20.0,329.4,266.7,88.8,47.4,80.0,4.8,2.9,3.34
2014-09-01 02:45:00+00:00,100,4.275,,12.34,1.75,,1.75,,,4.82,,2.96,,263.5,,,,110.0,20.0,330.6,267.9,89.0,47.6,80.2,4.4,2.89,3.35
2014-09-01 03:00:00+00:00,100,4.175,,11.99,1.8,,1.8,,,4.72,,3.0,,266.0,,,,110.0,20.0,331.0,266.2,92.0,49.2,84.2,4.4,2.87,3.1
2014-09-01 03:15:00+00:00,100,4.2,,12.01,1.75,,1.75,,,4.75,,3.08,,267.5,,,,110.0,20.0,329.9,263.6,94.2,50.3,88.7,4.6,2.86,2.73
2014-09-01 03:30:00+00:00,50,4.225,,12.31,2.75,,2.75,,,4.78,,3.19,,292.5,,,,110.0,20.0,320.3,256.9,90.1,48.8,86.2,4.6,2.91,2.63
2014-09-01 03:45:00+00:00,70,4.25,,13.02,2.22,,2.22,,,4.8,,3.33,,270.0,,,,110.0,20.0,292.4,235.7,79.4,43.1,82.3,4.2,3.06,2.05
2014-09-01 04:00:00+00:00,100,4.5,,13.92,1.85,,1.85,,,5.05,,3.48,,255.0,,,,110.0,20.0,283.7,224.4,83.2,46.3,83.9,5.1,3.09,2.29
2014-09-01 04:15:00+00:00,70,4.95,,15.92,3.1,,3.1,,,5.5,,3.65,,272.5,,,,110.0,20.0,260.1,206.1,71.5,39.6,86.9,5.4,3.22,1.45
2014-09-01 04:30:00+00:00,100,5.262,3.09,18.26,1.75,2.0,2.47,1.75,2.01,5.8,0.03,3.83,1.75,242.5,257.5,120.0,120.0,108.8,18.6,241.1,206.0,40.2,27.1,58.9,4.3,3.48,1.34
2014-09-01 04:45:00+00:00,70,5.925,,19.7,3.05,,3.05,,,6.47,,4.0,,242.5,,,,110.0,20.0,247.1,194.7,71.4,40.4,77.9,7.7,3.33,1.93
2014-09-01 05:00:00+00:00,70,5.55,,21.22,1.77,2.3,3.4,1.77,2.31,6.1,0.08,4.18,1.77,245.0,,107.5,107.5,103.9,13.8,205.4,171.0,36.4,24.3,66.8,4.5,3.82,1.0
2014-09-01 05:15:00+00:00,100,6.1,,19.87,2.4,2.45,2.8,2.4,2.45,6.65,0.08,4.34,2.4,226.0,,125.0,125.0,110.0,20.0,249.1,186.8,82.9,47.5,90.8,9.6,3.26,1.97
2014-09-01 05:30:00+00:00,70,5.675,,21.4,3.83,,3.83,,,6.22,,4.5,,249.5,,,,110.0,20.0,206.1,167.6,41.9,26.2,71.3,4.9,3.77,1.0
2014-09-01 05:45:00+00:00,70,6.875,,21.99,4.5,,4.5,,,7.43,,4.64,,266.0,,,,110.0,20.0,252.4,186.9,84.0,47.4,97.4,12.2,3.2,1.6
2014-09-01 06:00:00+00:00,70,7.25,,26.06,2.53,3.4,3.42,,,7.8,,4.77,2.53,211.0,,,101.0,110.0,20.0,232.3,200.2,38.4,25.5,64.5,7.9,3.59,1.0
2014-09-01 06:15:00+00:00,70,7.35,,26.92,2.58,3.1,3.8,,,7.9,,4.89,2.58,245.0,,,102.0,110.0,20.0,221.6,189.0,41.7,27.3,64.7,8.5,3.66,1.03
