column,mean_availability
foF2p,100.0
CS,100.0
Time,100.0
fmin,95.26037202380745
hmE,91.72126909485898
yE,91.72126909485898
fminF,86.73098613796502
foF2,86.73098613796502
hF,86.73098613796502
hF2,86.73098613796502
MD,86.67470956176895
MUFD,86.67470956176895
FF,86.48629188778081
fxI,86.47898314070318
halfNm,85.01386349349691
caleF2,85.01386349349691
hmF2,85.01386349349691
B0,85.01386349349691
yF2,85.01386349349691
B1,85.01386349349691
TEC,85.00170543878566
foEs,43.55560954982223
hEs,43.55560954982223
minEs,43.55459637859628
foE,38.24854030016246
fminE,38.24854030016246
hE,38.24748983585724
foF1,16.87659899114737
hmF1,16.12142483208253
yF1,16.11940477602835
D1,15.380005085962487
fbEs,14.028490900806261
QF,0.5081700011692577
peEs,0.0
hEa_QD,0.0
yF1_QD,0.0
hEs_QD,0.0
yE_QD,0.0
peEs_QD,0.0
hEa,0.0
hmF1_QD,0.0
hmE_QD,0.0
hF_QD,0.0
minEs_QD,0.0
hP,0.0
hP_QD,0.0
hmF2_QD,0.0
halfNm_QD,0.0
hF2_QD,0.0
foF1_QD,0.0
hE_QD,0.0
fxI_QD,0.0
B1_QD,0.0
D1_QD,0.0
FE,0.0
FE_QD,0.0
FF_QD,0.0
MD_QD,0.0
MUFD_QD,0.0
QE,0.0
QE_QD,0.0
QF_QD,0.0
TEC_QD,0.0
caleF2_QD,0.0
fbEs_QD,0.0
fminE_QD,0.0
fminF_QD,0.0
fmin_QD,0.0
foE_QD,0.0
foEa,0.0
foEa_QD,0.0
foEs_QD,0.0
B0_QD,0.0
foF2_QD,0.0
foF2p_QD,0.0
foP,0.0
foP_QD,0.0
yF2_QD,0.0
