Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2019-02-01 00:00:00+00:00,90,3.4,,10.55,2.45,,2.45,,,4.05,0.1,3.31,,302.0,302.0,,,110.0,20.0,310.5,,273.6,52.9,,28.1,51.4,1.7,3.1,2.34,
2019-02-01 00:05:00+00:00,100,3.45,,10.63,2.75,,2.75,,,4.05,0.3,3.33,,315.0,315.0,,,110.0,20.0,310.9,,275.2,51.2,,26.9,50.8,1.7,3.08,2.13,
2019-02-01 00:10:00+00:00,100,3.5,,10.8,1.75,,1.75,,,4.25,0.2,3.35,,267.0,267.0,,,110.0,20.0,307.1,,267.2,56.8,,29.9,52.0,1.9,3.09,2.75,
2019-02-01 00:15:00+00:00,100,3.4,,10.65,1.9,,1.9,,,4.25,0.2,3.37,,274.3,274.3,,,110.0,20.0,305.7,,265.4,57.4,,31.0,48.2,1.9,3.13,3.85,
2019-02-01 00:20:00+00:00,100,3.3,,10.75,1.65,,1.65,,,4.0,0.15,3.38,,267.0,267.0,,,110.0,20.0,290.8,,262.6,40.4,,20.8,40.7,1.2,3.26,1.95,
2019-02-01 00:25:00+00:00,70,3.5,,10.73,2.7,,2.7,,,4.7,0.65,3.39,,304.0,304.0,,,110.0,20.0,311.2,,272.9,54.7,,29.2,52.5,1.9,3.06,2.45,
2019-02-01 00:30:00+00:00,100,3.5,,10.64,2.1,,2.1,,,4.15,0.4,3.4,,281.5,281.5,,,110.0,20.0,312.7,,270.9,59.4,,31.6,53.4,2.0,3.04,2.99,
2019-02-01 00:35:00+00:00,100,3.55,,10.73,2.0,,2.0,,,4.25,0.2,3.4,,279.5,279.5,,,110.0,20.0,318.8,,271.4,67.2,,36.5,56.4,2.4,3.02,3.74,
2019-02-01 00:40:00+00:00,100,3.55,,10.92,2.5,,2.5,,,4.15,0.1,3.41,,299.0,299.0,,,110.0,20.0,315.2,,273.6,59.5,,32.1,54.6,2.1,3.08,3.02,
2019-02-01 00:45:00+00:00,75,3.5,,10.83,1.7,,1.7,,,4.35,0.25,3.41,,269.5,269.5,,,110.0,20.0,303.8,,267.3,52.0,,27.1,49.2,1.7,3.1,2.42,
2019-02-01 00:50:00+00:00,100,3.5,,11.04,2.45,,2.45,,,4.2,0.1,3.4,,291.5,291.5,,,110.0,20.0,301.6,,269.0,46.7,,24.5,46.1,1.6,3.15,2.14,
