Time,CS,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,fbEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2020-01-03 14:55:00+00:00,100,4.225,,17.16,1.8,,1.8,,,4.9,0.1,4.31,,,197.0,197.0,,,110.0,20.0,192.0,,172.6,25.4,,14.9,27.8,1.7,4.09,1.7,
2020-01-03 15:00:00+00:00,100,3.857,,15.92,1.7,,1.7,,,4.2,0.1,4.24,,,197.0,197.0,,,110.0,20.0,191.1,,171.1,23.9,,14.0,33.9,1.4,4.14,1.15,
2020-01-03 15:05:00+00:00,80,4.2,,15.15,1.75,,1.75,,,4.75,0.2,4.18,,,197.5,197.5,,,110.0,20.0,224.6,,178.6,64.6,,35.2,60.5,3.4,3.61,2.77,
2020-01-03 15:10:00+00:00,95,3.55,,14.06,1.85,,1.85,,,4.25,0.2,4.11,,,192.5,192.5,,,110.0,20.0,195.0,,170.9,32.3,,17.9,34.1,1.4,3.96,1.97,
2020-01-03 15:15:00+00:00,95,3.65,,12.53,1.7,,1.7,,,4.45,0.1,4.05,,,192.5,192.5,,,110.0,20.0,239.9,,175.0,92.2,,49.0,85.8,3.4,3.43,3.03,
2020-01-03 15:20:00+00:00,95,4.075,3.02,14.21,2.5,,2.5,,,4.6,0.1,3.98,,,227.5,270.0,,,110.0,20.0,237.5,203.3,196.9,35.4,32.8,27.7,54.8,2.6,3.51,1.63,0.21
2020-01-03 15:25:00+00:00,80,4.663,2.47,16.84,1.75,,1.75,,,5.15,0.1,3.91,,,217.5,242.5,,,110.0,20.0,246.8,200.0,214.2,51.0,26.2,28.7,45.0,3.3,3.62,3.97,0.68
2020-01-03 15:30:00+00:00,75,4.45,,17.3,1.8,,1.8,,,5.1,0.1,3.85,,,217.5,217.5,,,110.0,20.0,220.0,,201.8,25.6,,14.4,23.6,1.7,3.89,2.79,
2020-01-03 15:35:00+00:00,80,4.4,,17.17,1.65,,1.65,,,5.05,0.1,3.78,,,202.5,202.5,,,110.0,20.0,225.7,,192.5,48.6,,26.9,40.4,2.7,3.9,5.02,
2020-01-03 15:40:00+00:00,80,4.2,,16.34,2.0,,2.0,,,4.9,0.1,3.72,,,195.0,195.0,,,110.0,20.0,214.4,,188.0,38.1,,20.8,29.0,2.0,3.89,5.66,
2020-01-03 15:45:00+00:00,100,3.85,,15.39,1.9,,1.9,,,4.55,0.1,3.66,,,190.0,190.0,,,110.0,20.0,204.4,,183.5,29.4,,15.8,26.9,1.3,4.0,2.98,
2020-01-03 15:50:00+00:00,100,3.45,,13.65,1.7,,1.7,,,4.3,0.15,3.59,,,187.5,187.5,,,110.0,20.0,203.3,,181.2,30.8,,16.3,29.9,1.1,3.96,2.39,
2020-01-03 15:55:00+00:00,100,3.5,,12.26,1.9,,1.9,,,4.35,0.15,3.53,,,197.5,197.5,,,110.0,20.0,242.9,,196.6,66.0,,35.6,53.0,2.2,3.5,5.04,
2020-01-03 16:00:00+00:00,80,3.5,,11.32,1.7,,1.7,,,4.15,0.05,3.47,,,210.0,210.0,,,110.0,20.0,278.9,,208.3,100.5,,54.2,78.2,3.4,3.23,6.62,
2020-01-03 16:05:00+00:00,80,3.75,,13.65,1.75,,1.75,,,4.5,0.1,3.41,,,217.5,217.5,,,110.0,20.0,241.5,,210.1,44.9,,24.6,33.4,1.8,3.64,6.07,
2020-01-03 16:10:00+00:00,80,3.65,,13.87,1.75,,1.75,,,4.45,0.15,3.36,,,207.5,207.5,,,110.0,20.0,223.4,,201.3,31.4,,16.8,29.0,1.2,3.8,2.83,
2020-01-03 16:15:00+00:00,65,3.8,,13.52,1.65,,1.65,,,4.45,0.15,3.3,,,200.0,200.0,,,110.0,20.0,244.4,,198.0,66.0,,36.3,53.0,2.6,3.56,5.76,
2020-01-03 16:20:00+00:00,100,3.5,,12.94,1.9,,1.9,,,4.2,0.15,3.25,,,200.0,200.0,,,110.0,20.0,227.2,,196.6,43.4,,23.5,35.5,1.5,3.7,4.28,
2020-01-03 16:25:00+00:00,100,3.45,,12.81,2.4,,2.4,,,4.05,0.1,3.2,,,210.0,210.0,,,110.0,20.0,237.7,,205.0,46.4,,25.5,35.7,1.5,3.71,5.7,
2020-01-03 16:30:00+00:00,100,3.25,,11.8,1.7,,1.7,,,4.0,0.25,3.15,,,195.0,195.0,,,110.0,20.0,231.7,,193.1,54.6,,29.6,43.7,1.6,3.63,5.1,
2020-01-03 16:35:00+00:00,90,3.2,,10.84,1.95,,1.95,,,3.9,0.15,3.1,,,205.0,205.0,,,110.0,20.0,253.7,,208.8,63.2,,34.1,50.8,1.8,3.39,4.5,
2020-01-03 16:40:00+00:00,100,2.95,,10.38,1.8,,1.8,,,3.65,0.1,3.05,,,217.5,217.5,,,110.0,20.0,248.4,,214.8,47.6,,25.8,39.4,1.2,3.52,3.96,
2020-01-03 16:45:00+00:00,80,2.95,,10.3,1.85,,1.85,,,3.65,0.1,3.01,,,225.0,225.0,,,110.0,20.0,270.7,,215.3,78.1,,43.6,64.1,1.9,3.49,6.24,
2020-01-03 16:50:00+00:00,100,2.9,,10.37,1.9,,1.9,,,3.6,0.1,2.97,,,220.0,220.0,,,110.0,20.0,251.9,,214.2,53.4,,29.4,41.5,1.3,3.58,5.69,
2020-01-03 16:55:00+00:00,80,2.95,,10.23,1.8,,1.8,,,3.65,0.1,2.93,,,212.5,212.5,,,110.0,20.0,263.5,,209.2,76.6,,42.4,61.8,1.8,3.47,6.01,
2020-01-03 17:00:00+00:00,100,2.95,,10.09,1.95,,1.95,,,3.95,0.3,2.89,,,220.0,220.0,,,110.0,20.0,266.9,,219.6,66.9,,36.8,52.5,1.6,3.42,5.67,
2020-01-03 17:05:00+00:00,100,3.0,,10.62,1.85,,1.85,,,3.6,0.1,2.86,,,220.0,220.0,,,110.0,20.0,249.7,,217.5,45.8,,25.1,36.2,1.2,3.54,4.84,
2020-01-03 17:10:00+00:00,80,3.25,,10.5,1.75,,1.75,,,3.9,0.25,2.82,,,217.5,217.5,,,110.0,20.0,281.2,,217.4,89.7,,49.0,71.1,2.6,3.23,6.07,
2020-01-03 17:15:00+00:00,80,3.1,,11.21,1.7,,1.7,,,3.75,0.15,2.79,,,215.0,215.0,,,110.0,20.0,243.6,,212.5,44.0,,23.8,37.4,1.2,3.62,3.85,
2020-01-03 17:20:00+00:00,80,3.2,,11.74,1.45,,1.45,,,3.85,0.1,2.77,,,210.0,210.0,,,110.0,20.0,235.1,,208.2,38.2,,20.3,34.3,1.1,3.67,3.03,
2020-01-03 17:25:00+00:00,80,3.2,,11.93,1.75,,1.75,,,3.9,0.1,2.74,,,210.0,210.0,,,110.0,20.0,240.0,,200.5,55.6,,30.8,44.0,1.6,3.73,6.48,
