Time,CS,foF2,MUFD,fmin,foEs,fminF,fxI,FF,foF2p,minEs,fbEs,hF,hF2,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2023-06-16 15:57:38+00:00,100,7.245,20.67,3.01,4.83,5.53,7.97,0.21,6.11,3.01,,307.5,307.5,107.5,110.0,20.0,295.4,203.7,121.6,66.5,137.8,18.6,2.85,1.72
2023-06-16 16:01:46+00:00,100,7.21,20.75,3.05,4.86,6.65,8.07,0.17,6.12,3.05,,392.5,392.5,107.5,110.0,20.0,276.8,195.7,106.7,58.0,122.1,16.1,2.88,1.65
2023-06-16 16:13:44+00:00,65,7.035,21.93,2.52,4.8,4.55,7.58,0.28,6.17,2.94,4.55,295.0,295.0,107.5,110.0,20.0,261.0,197.7,75.8,44.5,114.8,12.3,3.12,1.05
2023-06-16 16:23:26+00:00,95,7.28,21.26,2.84,5.11,4.38,7.93,0.14,6.2,2.84,4.38,282.5,282.5,105.0,110.0,20.0,296.7,211.9,114.5,62.9,128.0,17.8,2.92,1.77
2023-06-16 17:45:00+00:00,0,5.775,21.99,1.92,7.03,2.94,7.68,0.07,6.29,1.92,2.94,210.0,210.0,102.5,110.0,20.0,,,,,,,3.81,
2023-06-16 17:50:00+00:00,65,7.4,20.75,2.1,7.22,5.5,8.05,0.08,6.28,2.1,5.5,325.0,325.0,102.5,110.0,20.0,325.4,253.6,101.2,53.0,105.4,15.4,2.8,1.87
2023-06-16 17:55:00+00:00,20,6.58,12.23,1.78,8.47,6.13,8.1,0.04,6.27,1.78,6.13,815.0,815.0,102.5,110.0,20.0,518.3,369.1,208.7,107.9,223.6,24.9,1.86,1.69
2023-06-16 18:00:00+00:00,45,3.71,16.31,1.78,8.82,3.36,4.26,0.04,6.26,1.78,3.36,212.5,212.5,102.5,110.0,20.0,189.0,177.5,14.9,10.7,17.7,0.8,4.39,1.46
2023-06-16 18:05:00+00:00,0,7.675,33.63,6.78,,6.78,8.38,0.3,6.25,,,102.5,102.5,,110.0,20.0,,,,,,,4.38,
2023-06-16 18:10:00+00:00,50,,,,,,,,8.59,,,,,,,,,,,,,,,
2023-06-16 18:15:00+00:00,75,,,,,,,,8.56,,,,,,,,,,,,,,,
2023-06-16 18:25:00+00:00,75,,,,,,,,8.52,,,,,,,,,,,,,,,
2023-06-16 18:30:00+00:00,75,,,,,,,,8.5,,,,,,,,,,,,,,,
2023-06-16 18:35:00+00:00,75,,,,3.08,,,,8.48,1.85,,,,100.0,,,,,,,,,,
2023-06-16 18:40:00+00:00,100,7.91,22.82,1.82,5.07,6.44,8.45,0.07,6.12,1.82,,337.5,337.5,102.5,110.0,20.0,342.5,288.4,78.1,40.7,77.7,13.4,2.88,2.06
2023-06-16 18:45:00+00:00,45,7.07,22.54,1.78,5.18,5.39,8.35,0.21,6.1,1.78,,310.0,310.0,102.5,110.0,20.0,295.3,261.0,49.9,25.3,51.7,6.8,3.19,1.76
2023-06-16 18:50:00+00:00,50,7.85,22.51,1.98,5.0,4.8,8.57,0.17,6.07,1.98,4.8,295.0,295.0,102.5,110.0,20.0,325.8,279.8,66.8,34.3,66.7,11.2,2.87,1.99
2023-06-16 18:55:00+00:00,0,7.805,22.42,1.78,4.51,3.18,8.49,0.14,6.05,1.78,3.18,300.0,300.0,102.5,110.0,20.0,,,,,,,2.87,
2023-06-16 19:00:00+00:00,95,7.91,22.47,1.78,3.54,3.05,8.6,0.14,6.02,1.78,3.05,270.0,270.0,100.0,110.0,20.0,341.8,283.1,84.0,44.1,75.3,14.2,2.84,2.91
2023-06-16 19:05:00+00:00,95,7.575,22.31,2.5,3.85,3.15,8.25,0.05,5.99,2.5,3.15,272.5,272.5,102.5,110.0,20.0,323.5,278.3,65.4,33.8,63.6,10.2,2.95,2.2
2023-06-16 19:09:03+00:00,75,,,,,,,,8.41,,,,,,,,,,,,,,,
2023-06-16 19:11:29+00:00,75,,,,,,,,8.41,,,,,,,,,,,,,,,
2023-06-16 19:11:55+00:00,75,,,,4.51,,,,8.41,2.0,,,,102.5,,,,,,,,,,
2023-06-16 19:12:13+00:00,75,,,,4.2,,,,8.41,2.03,,,,102.5,,,,,,,,,,
2023-06-16 19:13:34+00:00,75,,,,4.38,,,,8.41,2.03,,,,102.5,,,,,,,,,,
2023-06-16 19:13:57+00:00,45,4.06,17.62,2.0,4.41,3.85,4.59,0.04,5.94,2.0,3.85,215.0,215.0,102.5,110.0,20.0,200.7,194.3,9.2,10.6,9.4,0.8,4.34,1.88
2023-06-16 19:14:18+00:00,25,3.43,15.17,2.0,4.06,2.94,4.87,,5.94,2.0,2.94,212.5,212.5,102.5,110.0,20.0,200.6,194.3,9.0,10.6,10.2,0.6,4.42,1.39
2023-06-16 19:14:43+00:00,0,7.84,22.02,1.82,5.91,3.64,8.24,0.07,5.94,1.82,3.64,212.5,212.5,102.5,110.0,20.0,,,,,,,2.81,
2023-06-16 20:45:00+00:00,90,7.735,21.76,1.82,2.73,3.01,8.45,0.17,5.32,1.82,,300.0,300.0,92.5,110.0,20.0,362.3,303.5,84.5,44.6,77.3,13.8,2.81,2.79
2023-06-16 20:50:00+00:00,0,7.375,23.98,1.77,3.25,2.72,8.43,0.22,5.28,1.77,2.72,100.0,100.0,92.5,110.0,20.0,,,,,,,3.25,
