Time,CS,foF2,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2024-04-01 00:00:00+00:00,90,5.11,13.74,1.82,,1.82,,,5.72,0.07,3.17,,310.0,310.0,,,110.0,20.0,368.7,318.1,73.8,37.3,76.5,5.2,2.69,1.75
2024-04-01 00:05:00+00:00,85,5.075,13.68,2.1,,2.1,,,5.7,0.15,3.16,,320.0,320.0,,,110.0,20.0,368.8,319.9,71.7,36.2,75.9,5.0,2.7,1.63
2024-04-01 00:10:00+00:00,100,4.97,13.68,2.77,,2.77,,,5.76,0.21,3.15,,340.0,340.0,,,110.0,20.0,364.8,315.7,71.8,36.4,75.2,4.8,2.75,1.71
2024-04-01 00:15:00+00:00,100,5.11,13.74,1.64,1.92,1.96,,,5.8,0.14,3.14,1.64,320.0,320.0,,95.0,110.0,20.0,374.9,320.6,79.0,40.5,80.6,5.6,2.69,1.85
2024-04-01 00:20:00+00:00,65,5.175,13.99,1.77,,1.77,,,5.75,0.08,3.13,,315.0,315.0,,,110.0,20.0,372.3,322.0,73.5,37.3,77.0,5.3,2.7,1.68
2024-04-01 00:25:00+00:00,90,5.145,13.58,1.82,,1.82,,,5.72,0.04,3.13,,315.0,315.0,,,110.0,20.0,380.2,321.2,85.6,44.0,85.4,6.1,2.64,2.0
2024-04-01 00:30:00+00:00,100,5.075,13.5,1.82,,1.82,,,5.69,0.07,3.11,,315.0,315.0,,,110.0,20.0,376.5,320.3,81.5,41.7,82.6,5.7,2.66,1.9
2024-04-01 00:35:00+00:00,80,4.725,13.23,1.88,,1.88,,,5.13,0.03,3.1,,315.0,315.0,,,110.0,20.0,357.9,313.1,65.5,33.2,70.4,4.0,2.8,1.56
2024-04-01 00:40:00+00:00,90,5.075,13.36,1.78,,1.78,,,5.69,0.07,3.09,,312.5,312.5,,,110.0,20.0,379.3,322.1,83.1,42.4,84.2,5.8,2.63,1.88
2024-04-01 00:45:00+00:00,90,5.145,13.41,1.86,,1.86,,,5.76,0.07,3.08,,315.0,315.0,,,110.0,20.0,385.8,323.1,90.8,46.7,89.7,6.5,2.61,2.06
2024-04-01 00:50:00+00:00,70,5.1,13.52,1.85,,1.85,,,5.75,0.05,3.07,,315.0,315.0,,,110.0,20.0,378.7,320.8,84.0,43.1,84.6,5.9,2.65,1.94
2024-04-01 00:55:00+00:00,85,5.11,13.68,1.89,,1.89,,,5.76,0.1,3.06,,315.0,315.0,,,110.0,20.0,372.7,318.2,79.2,40.5,80.8,5.6,2.68,1.85
2024-04-01 01:00:00+00:00,100,5.04,13.68,1.82,,1.82,,,5.69,0.1,3.05,,307.5,307.5,,,110.0,20.0,367.3,314.4,76.9,39.3,78.3,5.3,2.71,1.86
2024-04-01 01:05:00+00:00,45,3.925,12.07,2.4,,2.4,,,,0.05,3.03,,322.5,322.5,,,110.0,20.0,323.6,284.4,56.6,29.2,58.7,2.4,3.07,1.81
2024-04-01 01:10:00+00:00,90,4.97,13.77,1.92,,1.92,,,5.66,0.17,3.02,,305.0,305.0,,,110.0,20.0,355.5,308.8,68.3,34.6,71.3,4.6,2.77,1.7
2024-04-01 01:15:00+00:00,70,4.69,13.65,1.78,,1.78,,,4.99,0.07,3.01,,300.0,300.0,,,110.0,20.0,339.7,301.9,55.6,27.9,61.1,3.3,2.91,1.45
2024-04-01 01:20:00+00:00,70,4.45,13.57,1.8,,1.8,,,5.0,0.03,3.0,,300.0,300.0,,,110.0,20.0,328.2,297.0,46.2,22.8,54.0,2.5,3.05,1.23
2024-04-01 01:25:00+00:00,90,4.9,13.78,2.13,,2.13,,,5.45,0.14,2.99,,310.0,310.0,,,110.0,20.0,350.3,306.3,64.5,32.5,68.8,4.2,2.81,1.61
2024-04-01 01:30:00+00:00,85,5.145,14.03,1.72,,1.72,,,5.86,0.17,2.98,,300.0,300.0,,,110.0,20.0,361.2,309.8,74.7,38.1,76.0,5.4,2.73,1.86
2024-04-01 01:35:00+00:00,100,4.275,13.28,1.85,,1.85,,,4.88,0.03,2.97,,302.5,302.5,,,110.0,20.0,320.7,291.3,43.6,21.6,51.3,2.2,3.11,1.22
2024-04-01 01:40:00+00:00,70,4.935,14.06,1.75,,1.75,,,5.27,0.1,2.96,,297.5,297.5,,,110.0,20.0,344.5,302.4,61.6,31.1,65.4,4.1,2.85,1.61
2024-04-01 01:45:00+00:00,95,4.9,14.02,1.78,,1.78,,,5.3,0.17,2.95,,295.0,295.0,,,110.0,20.0,342.0,300.1,61.4,31.0,65.0,4.0,2.86,1.64
2024-04-01 01:50:00+00:00,70,4.1,13.01,2.72,,2.72,,,4.63,,2.94,,317.5,317.5,,,110.0,20.0,307.6,277.8,43.7,21.4,49.0,2.0,3.17,1.41
2024-04-01 01:55:00+00:00,100,4.9,13.86,1.86,,1.86,,,5.34,0.1,2.94,,295.0,295.0,,,110.0,20.0,344.1,299.1,65.6,33.3,68.1,4.3,2.83,1.75
2024-04-01 02:00:00+00:00,90,4.795,13.8,1.78,,1.78,,,5.41,0.1,2.93,,292.5,292.5,,,110.0,20.0,339.4,297.5,61.2,30.8,64.9,3.8,2.88,1.63
2024-04-01 02:05:00+00:00,100,4.35,13.26,2.1,,2.1,,,4.97,0.03,2.93,,300.0,300.0,,,110.0,20.0,321.6,288.3,49.2,24.3,55.6,2.5,3.05,1.37
2024-04-01 02:10:00+00:00,90,4.9,13.64,1.92,,1.92,,,5.59,0.14,2.93,,297.5,297.5,,,110.0,20.0,349.6,301.4,70.1,35.6,72.3,4.6,2.78,1.78
2024-04-01 02:15:00+00:00,90,4.9,13.69,1.82,,1.82,,,5.72,0.28,2.93,,295.0,295.0,,,110.0,20.0,348.9,301.1,69.6,35.4,71.8,4.5,2.79,1.77
2024-04-01 02:20:00+00:00,90,4.9,13.69,1.77,,1.77,,,5.45,0.1,2.93,,295.0,295.0,,,110.0,20.0,348.7,302.1,68.0,34.5,71.2,4.4,2.8,1.7
2024-04-01 02:25:00+00:00,100,4.795,13.74,1.68,,1.68,,,5.2,0.14,2.94,,292.5,292.5,,,110.0,20.0,340.7,299.7,60.2,30.3,65.0,3.8,2.87,1.53
2024-04-01 02:30:00+00:00,70,4.9,13.77,1.72,,1.72,,,5.13,0.14,2.94,,295.0,295.0,,,110.0,20.0,347.2,302.2,65.9,33.2,69.8,4.3,2.81,1.63
2024-04-01 02:35:00+00:00,100,4.3,13.2,1.7,,1.7,,,4.95,0.05,2.95,,295.0,295.0,,,110.0,20.0,322.1,290.9,46.2,22.9,54.3,2.4,3.07,1.21
2024-04-01 02:40:00+00:00,100,5.075,14.01,1.82,,1.82,,,5.72,0.17,2.96,,300.0,300.0,,,110.0,20.0,357.8,304.5,77.4,39.8,78.4,5.4,2.76,1.91
2024-04-01 02:45:00+00:00,95,5.11,14.21,1.82,,1.82,,,5.8,0.14,2.98,,300.0,300.0,,,110.0,20.0,353.1,302.2,74.1,38.0,75.6,5.3,2.78,1.86
2024-04-01 02:50:00+00:00,95,5.05,14.31,1.73,,1.73,,,5.75,0.17,2.99,,292.5,292.5,,,110.0,20.0,344.2,297.3,68.3,34.9,70.9,4.7,2.83,1.75
2024-04-01 02:55:00+00:00,100,5.075,14.32,1.78,,1.78,,,5.72,0.14,3.02,,287.5,287.5,,,110.0,20.0,342.9,294.1,70.8,36.2,72.5,5.0,2.82,1.83
2024-04-01 03:00:00+00:00,90,4.935,14.22,1.78,,1.78,,,5.55,0.1,3.04,,285.0,285.0,,,110.0,20.0,333.1,290.0,62.8,31.7,66.9,4.2,2.88,1.62
2024-04-01 03:05:00+00:00,100,4.925,13.98,1.77,,1.77,,,5.6,0.1,3.06,,282.5,282.5,,,110.0,20.0,335.0,289.8,65.7,33.3,70.0,4.3,2.84,1.63
2024-04-01 03:10:00+00:00,100,5.005,14.15,1.75,,1.75,,,5.72,0.25,3.09,,282.5,282.5,,,110.0,20.0,344.4,288.4,80.5,41.9,80.1,5.5,2.83,2.07
2024-04-01 03:15:00+00:00,65,4.97,14.36,1.82,,1.82,,,5.59,0.1,3.13,,285.0,285.0,,,110.0,20.0,330.5,285.8,64.7,32.9,69.6,4.4,2.89,1.59
2024-04-01 03:20:00+00:00,70,4.775,14.44,1.8,,1.8,,,5.05,0.08,3.16,,280.0,280.0,,,110.0,20.0,314.3,277.5,53.4,27.0,61.2,3.4,3.03,1.32
2024-04-01 03:25:00+00:00,100,5.11,14.52,1.68,,1.68,,,5.72,0.14,3.2,,270.0,270.0,,,110.0,20.0,331.2,276.1,78.7,40.6,78.9,5.6,2.84,2.0
2024-04-01 03:30:00+00:00,70,5.04,14.63,1.72,,1.72,,,5.16,0.14,3.24,,265.0,265.0,,,110.0,20.0,320.5,269.9,72.0,36.9,74.2,5.0,2.9,1.84
2024-04-01 03:35:00+00:00,85,4.9,14.66,1.85,,1.85,,,5.63,0.17,3.28,,262.5,262.5,,,110.0,20.0,306.3,262.9,61.4,31.4,67.2,4.1,2.99,1.56
2024-04-01 03:40:00+00:00,100,5.11,14.85,1.82,,1.82,,,5.69,0.21,3.33,,255.0,255.0,,,110.0,20.0,315.6,260.8,77.5,40.0,79.2,5.6,2.91,1.91
2024-04-01 03:45:00+00:00,95,5.25,15.02,1.96,,1.96,,,5.86,0.31,3.38,,257.5,257.5,,,110.0,20.0,327.4,259.1,96.7,51.1,92.7,7.4,2.86,2.42
