Time,CS,foF2,MUFD,fmin,fminF,fminE,foE,fxI,FF,foF2p,hF,hF2,hE,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2025-04-01 00:00:00+00:00,95,6.755,20.0,1.96,1.96,,,7.44,0.14,3.17,255.0,255.0,,110.0,20.0,319.1,276.2,62.0,31.7,58.5,7.6,2.96,2.4
2025-04-01 00:05:00+00:00,100,5.975,19.37,2.05,2.05,,,6.38,0.03,3.16,257.5,257.5,,110.0,20.0,296.1,269.9,38.6,19.3,40.4,3.7,3.24,1.65
2025-04-01 00:10:00+00:00,80,6.72,19.36,2.48,2.48,,,7.26,0.14,3.15,267.5,267.5,,110.0,20.0,333.4,285.4,69.0,35.8,62.3,8.4,2.88,2.79
2025-04-01 00:15:00+00:00,95,6.65,19.18,2.45,2.45,,,7.37,0.14,3.14,267.5,267.5,,110.0,20.0,332.5,287.4,65.3,33.5,61.5,7.7,2.88,2.4
2025-04-01 00:20:00+00:00,70,6.625,19.22,1.77,1.77,,,6.35,0.08,3.13,260.0,260.0,,110.0,20.0,329.6,286.7,62.5,31.6,60.7,7.3,2.9,2.15
2025-04-01 00:25:00+00:00,70,7.0,19.26,2.07,2.07,,,7.65,0.21,3.13,267.5,267.5,,110.0,20.0,374.8,290.6,118.7,63.7,95.2,15.8,2.75,4.69
2025-04-01 00:30:00+00:00,65,6.195,19.11,1.82,1.82,,,6.32,0.07,3.11,265.0,265.0,,110.0,20.0,314.5,283.0,46.3,23.0,48.1,4.8,3.08,1.71
2025-04-01 00:35:00+00:00,95,6.175,18.85,2.55,2.55,,,6.95,0.1,3.1,280.0,280.0,,110.0,20.0,318.9,284.8,49.9,25.4,51.2,5.2,3.05,1.81
2025-04-01 00:40:00+00:00,100,6.685,19.25,2.48,2.48,,,7.47,0.14,3.09,280.0,280.0,,110.0,20.0,336.7,292.5,64.1,32.9,62.0,7.7,2.88,2.2
2025-04-01 00:45:00+00:00,100,6.86,19.43,1.82,1.82,,,7.61,0.21,3.08,267.5,267.5,,110.0,20.0,347.8,290.4,82.3,42.8,74.7,10.4,2.83,2.81
2025-04-01 00:50:00+00:00,70,6.25,19.24,2.4,2.4,,,7.18,0.08,3.07,275.0,275.0,,110.0,20.0,316.5,282.1,50.3,25.7,50.8,5.3,3.08,1.91
2025-04-01 00:55:00+00:00,95,6.37,19.18,2.41,2.41,,,6.95,0.1,3.06,272.5,272.5,,110.0,20.0,319.2,283.4,52.3,26.5,52.6,5.7,3.01,1.92
2025-04-01 01:00:00+00:00,85,6.615,19.22,1.82,1.82,,,7.37,0.21,3.05,262.5,262.5,,110.0,20.0,327.4,284.0,63.0,32.0,60.7,7.4,2.9,2.21
2025-04-01 01:05:00+00:00,50,5.1,17.61,3.28,3.28,,,6.97,0.05,3.03,285.0,285.0,,110.0,20.0,282.1,262.1,29.7,14.4,33.0,2.1,3.45,1.44
2025-04-01 01:10:00+00:00,100,6.44,19.22,1.92,1.92,,,7.2,0.21,3.02,260.0,260.0,,110.0,20.0,319.1,278.7,58.6,29.9,56.3,6.5,2.98,2.23
2025-04-01 01:15:00+00:00,90,6.265,19.0,2.13,2.13,,,6.84,0.28,3.01,262.5,262.5,,110.0,20.0,313.3,277.7,51.9,26.2,51.5,5.5,3.03,1.99
2025-04-01 01:20:00+00:00,100,6.225,18.75,3.42,3.42,,,6.6,0.05,3.0,287.5,287.5,,110.0,20.0,317.3,282.1,51.4,26.2,52.1,5.4,3.01,1.88
2025-04-01 01:25:00+00:00,100,6.3,18.97,1.86,1.86,,,6.74,0.1,2.99,260.0,260.0,,110.0,20.0,316.3,279.0,54.3,27.3,53.9,5.7,3.01,2.0
2025-04-01 01:30:00+00:00,100,6.51,19.03,1.82,1.82,,,7.3,0.21,2.98,257.5,257.5,,110.0,20.0,328.5,280.2,69.7,35.8,64.8,7.9,2.92,2.53
2025-04-01 01:35:00+00:00,95,6.2,19.17,1.9,1.9,,,6.65,0.03,2.97,260.0,260.0,,110.0,20.0,308.9,277.4,46.3,23.2,47.9,4.8,3.09,1.74
2025-04-01 01:40:00+00:00,90,6.58,19.33,1.78,1.78,,,7.3,0.14,2.96,257.5,257.5,,110.0,20.0,322.3,278.1,64.0,32.7,60.4,7.4,2.94,2.38
2025-04-01 01:45:00+00:00,50,,,,,,,,,6.08,,,,,,,,,,,,,
2025-04-01 01:50:00+00:00,0,6.85,19.17,2.65,2.65,,,7.4,0.05,2.94,265.0,265.0,,110.0,20.0,,,,,,,2.8,
2025-04-01 01:55:00+00:00,100,6.02,19.04,1.72,1.72,,,6.84,0.14,2.94,250.0,250.0,,110.0,20.0,298.4,266.1,47.2,23.8,47.0,4.6,3.16,1.97
2025-04-01 02:00:00+00:00,95,6.3,19.0,1.78,1.78,,,7.02,0.17,2.93,250.0,250.0,,110.0,20.0,309.7,268.8,59.2,30.2,56.3,6.3,3.02,2.33
2025-04-01 02:05:00+00:00,90,6.125,18.85,2.13,2.13,,,6.68,0.13,2.93,252.5,252.5,,110.0,20.0,302.4,268.6,49.2,25.0,48.3,4.9,3.08,2.07
2025-04-01 02:10:00+00:00,70,6.3,18.63,2.0,2.0,,,6.28,0.14,2.93,247.5,247.5,,110.0,20.0,313.9,268.5,65.4,33.5,60.3,6.9,2.96,2.58
2025-04-01 02:15:00+00:00,65,6.265,18.62,2.2,2.2,,,7.13,0.31,2.93,252.5,252.5,,110.0,20.0,318.9,269.3,70.7,37.0,61.8,7.5,2.97,3.17
2025-04-01 02:20:00+00:00,100,6.225,18.63,2.72,2.72,,,6.93,0.15,2.93,260.0,260.0,,110.0,20.0,315.6,273.2,60.9,31.9,56.0,6.4,2.99,2.69
2025-04-01 02:25:00+00:00,100,6.265,18.66,1.75,1.75,,,7.13,0.21,2.94,242.5,242.5,,110.0,20.0,311.8,265.0,67.4,34.5,62.5,7.0,2.98,2.55
2025-04-01 02:30:00+00:00,85,6.3,18.73,1.92,1.92,,,6.99,0.14,2.94,245.0,245.0,,110.0,20.0,314.0,266.9,67.8,34.8,62.3,7.2,2.97,2.62
2025-04-01 02:35:00+00:00,95,5.15,17.49,3.33,3.33,,,6.18,0.05,2.95,272.5,272.5,,110.0,20.0,280.2,253.5,38.7,20.1,38.6,2.8,3.4,2.04
2025-04-01 02:40:00+00:00,85,5.81,18.84,1.89,1.89,,,6.36,0.07,2.96,242.5,242.5,,110.0,20.0,286.7,257.2,43.1,21.6,43.3,3.9,3.24,1.9
2025-04-01 02:45:00+00:00,85,6.16,18.84,1.86,1.86,,,6.78,0.07,2.98,240.0,240.0,,110.0,20.0,300.7,260.2,58.5,29.9,55.1,5.9,3.06,2.4
2025-04-01 02:50:00+00:00,70,5.825,18.7,1.98,1.98,,,6.13,0.05,2.99,242.5,242.5,,110.0,20.0,287.6,256.1,45.7,23.3,44.7,4.2,3.21,2.11
2025-04-01 02:55:00+00:00,85,5.915,18.73,2.41,2.41,,,6.43,0.1,3.02,247.5,247.5,,110.0,20.0,290.2,256.2,49.1,25.3,46.8,4.6,3.17,2.32
2025-04-01 03:00:00+00:00,100,5.845,18.39,1.75,1.75,,,6.25,0.14,3.04,232.5,232.5,,110.0,20.0,288.0,247.8,57.7,29.6,53.7,5.3,3.14,2.51
2025-04-01 03:05:00+00:00,50,4.175,15.84,3.47,3.47,,,6.2,0.3,3.06,260.0,260.0,,110.0,20.0,242.5,227.7,21.4,10.7,22.7,1.0,3.79,1.64
