Time,foF2,foF1,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,hmF1,halfNm,yF2,yF1,caleF2,B0,TEC,MD,B1,D1
2021-02-01 00:00:00+00:00,,,,,,,,,,,3.28,,,,,,,,,,,,,,,,,,
2021-02-01 00:05:00+00:00,2.5,,8.76,1.65,,1.65,,,3.2,0.25,3.3,,257.5,257.5,,,110.0,20.0,261.9,,239.8,31.4,,16.7,30.2,0.6,3.5,2.42,
2021-02-01 00:10:00+00:00,3.0,,9.62,1.65,,1.65,,,3.9,0.45,3.31,,242.5,242.5,,,110.0,20.0,283.3,,240.6,60.3,,32.2,49.9,1.5,3.21,3.82,
2021-02-01 00:15:00+00:00,2.95,,9.98,1.75,,1.75,,,3.7,0.4,3.33,,247.5,247.5,,,110.0,20.0,270.0,,238.8,44.2,,24.0,36.7,1.1,3.38,3.98,
2021-02-01 00:20:00+00:00,3.05,,10.3,1.7,,1.7,,,3.7,0.1,3.34,,245.0,245.0,,,110.0,20.0,272.5,,238.7,48.0,,25.9,41.6,1.2,3.38,3.54,
2021-02-01 00:25:00+00:00,3.0,,10.13,1.65,,1.65,,,3.65,0.1,3.36,,242.5,242.5,,,110.0,20.0,269.8,,236.9,46.7,,25.0,41.7,1.2,3.38,3.12,
2021-02-01 00:30:00+00:00,3.0,,10.07,1.65,,1.65,,,3.75,0.2,3.36,,240.0,240.0,,,110.0,20.0,271.6,,234.3,52.9,,28.8,44.1,1.3,3.36,4.1,
2021-02-01 00:35:00+00:00,3.0,,9.89,1.65,,1.65,,,3.75,0.25,3.37,,237.5,237.5,,,110.0,20.0,277.4,,234.2,61.0,,33.2,49.8,1.5,3.3,4.35,
2021-02-01 00:40:00+00:00,3.0,,9.32,1.75,,1.75,,,3.65,0.45,3.37,,245.0,245.0,,,110.0,20.0,320.5,,240.0,113.4,,62.8,91.9,2.8,3.11,6.33,
2021-02-01 00:45:00+00:00,3.0,,9.93,1.95,,1.95,,,3.6,0.05,3.37,,260.0,260.0,,,110.0,20.0,282.6,,251.2,44.7,,23.8,40.3,1.1,3.31,3.05,
2021-02-01 00:50:00+00:00,2.95,,9.85,1.8,,1.8,,,3.8,0.2,3.37,,260.0,260.0,,,110.0,20.0,290.6,,246.5,62.3,,34.2,48.5,1.5,3.34,5.7,
2021-02-01 00:55:00+00:00,2.9,,9.76,1.65,,1.65,,,3.35,0.15,3.37,,255.0,255.0,,,110.0,20.0,274.6,,244.3,43.1,,23.3,38.4,1.0,3.36,3.25,
2021-02-01 01:00:00+00:00,2.85,,8.96,1.7,,1.7,,,3.45,0.1,3.36,,267.5,267.5,,,110.0,20.0,319.6,,256.1,89.7,,49.5,71.9,2.0,3.14,5.67,
2021-02-01 01:05:00+00:00,3.0,,9.93,1.65,,1.65,,,3.55,0.1,3.35,,255.0,255.0,,,110.0,20.0,280.8,,246.4,48.9,,26.4,42.8,1.2,3.31,3.44,
2021-02-01 01:10:00+00:00,2.95,,10.03,1.8,,1.8,,,4.0,0.4,3.33,,257.5,257.5,,,110.0,20.0,272.0,,245.7,37.5,,20.1,35.3,0.9,3.4,2.66,
2021-02-01 01:15:00+00:00,2.9,,9.85,1.65,,1.65,,,3.7,0.25,3.32,,255.0,255.0,,,110.0,20.0,276.8,,248.1,40.8,,21.3,38.8,1.0,3.39,2.44,
2021-02-01 01:20:00+00:00,2.7,,9.44,1.65,,1.65,,,3.45,0.25,3.3,,255.0,255.0,,,110.0,20.0,263.0,,240.4,32.3,,17.3,31.4,0.7,3.5,2.4,
2021-02-01 01:25:00+00:00,3.0,,9.84,1.25,,1.25,,,3.6,0.25,3.28,,237.5,237.5,,,110.0,20.0,278.3,,238.3,56.9,,30.6,51.1,1.4,3.28,3.18,
2021-02-01 01:30:00+00:00,2.85,,9.71,1.85,,1.85,,,3.55,0.2,3.25,,252.5,252.5,,,110.0,20.0,267.6,,241.6,37.1,,19.7,34.9,0.8,3.41,2.6,
2021-02-01 01:35:00+00:00,3.0,,9.93,1.65,,1.65,,,3.85,0.25,3.23,,252.5,252.5,,,110.0,20.0,279.5,,243.4,51.2,,27.8,42.5,1.3,3.31,3.97,
2021-02-01 01:40:00+00:00,3.05,,9.76,1.35,,1.35,,,3.8,0.1,3.2,,237.5,237.5,,,110.0,20.0,288.3,,241.0,67.1,,36.2,56.4,1.7,3.2,3.95,
2021-02-01 01:45:00+00:00,3.0,,9.72,1.7,,1.7,,,3.85,0.15,3.17,,252.5,252.5,,,110.0,20.0,287.5,,247.1,57.4,,31.2,47.8,1.4,3.24,3.97,
2021-02-01 01:50:00+00:00,3.0,,9.67,1.65,,1.65,,,3.5,0.15,3.14,,262.5,262.5,,,110.0,20.0,293.1,,252.6,57.6,,31.8,44.0,1.5,3.22,5.55,
2021-02-01 01:55:00+00:00,2.95,,9.63,1.65,,1.65,,,3.55,0.15,3.11,,265.0,265.0,,,110.0,20.0,288.0,,255.4,46.4,,24.9,42.4,1.1,3.26,2.91,
2021-02-01 02:00:00+00:00,3.0,,9.62,1.65,,1.65,,,3.65,0.15,3.08,,255.0,255.0,,,110.0,20.0,300.3,,245.9,76.9,,42.3,60.3,1.9,3.21,5.93,
2021-02-01 02:05:00+00:00,2.95,,9.32,1.65,,1.65,,,3.5,0.2,3.05,,257.5,257.5,,,110.0,20.0,298.9,,250.0,69.3,,38.2,53.9,1.7,3.16,5.54,
2021-02-01 02:10:00+00:00,2.95,,9.58,1.65,,1.65,,,3.65,0.1,3.02,,252.5,252.5,,,110.0,20.0,303.8,,241.5,87.9,,48.6,70.9,2.1,3.25,5.93,
2021-02-01 02:15:00+00:00,2.9,,10.02,1.6,,1.6,,,3.55,0.1,2.98,,252.5,252.5,,,110.0,20.0,270.4,,246.1,34.6,,17.8,35.6,0.8,3.45,1.86,
2021-02-01 02:20:00+00:00,2.8,,9.4,1.65,,1.65,,,3.5,0.35,2.95,,252.5,252.5,,,110.0,20.0,272.9,,242.2,43.6,,23.5,37.6,1.0,3.36,3.47,
2021-02-01 02:25:00+00:00,2.8,,9.32,1.6,,1.6,,,3.65,0.35,2.92,,252.5,252.5,,,110.0,20.0,274.9,,244.2,43.5,,23.1,39.8,1.0,3.33,2.8,
2021-02-01 02:30:00+00:00,2.75,,9.01,1.65,,1.65,,,3.4,0.2,2.89,,255.0,255.0,,,110.0,20.0,284.7,,246.6,54.3,,29.9,41.5,1.2,3.28,5.34,
2021-02-01 02:35:00+00:00,2.8,,8.63,1.65,,1.65,,,3.45,0.2,2.86,,260.0,260.0,,,110.0,20.0,306.6,,253.1,75.7,,41.4,58.6,1.6,3.08,5.53,
2021-02-01 02:40:00+00:00,2.7,,8.41,1.65,,1.65,,,3.35,0.2,2.84,,272.5,272.5,,,110.0,20.0,301.5,,258.9,60.6,,32.6,53.6,1.2,3.12,3.25,
2021-02-01 02:45:00+00:00,2.7,,8.32,1.7,,1.7,,,3.2,0.15,2.81,,272.5,272.5,,,110.0,20.0,307.8,,260.2,67.6,,36.5,57.5,1.4,3.08,3.63,
2021-02-01 02:50:00+00:00,2.75,,8.24,1.2,,1.2,,,3.2,0.25,2.79,,250.0,250.0,,,110.0,20.0,303.1,,249.7,75.0,,38.5,70.1,1.5,3.0,2.49,
2021-02-01 02:55:00+00:00,2.55,,8.12,1.65,,1.65,,,3.15,0.15,2.77,,267.5,267.5,,,110.0,20.0,294.0,,253.2,57.9,,31.2,50.5,1.1,3.18,3.39,
2021-02-01 03:00:00+00:00,2.5,,8.3,1.65,,1.65,,,3.15,0.1,2.76,,267.5,267.5,,,110.0,20.0,277.7,,248.1,42.1,,22.6,40.5,0.8,3.32,2.48,
2021-02-01 03:05:00+00:00,2.55,,7.91,1.7,,1.7,,,3.15,0.15,2.74,,270.0,270.0,,,110.0,20.0,303.6,,251.2,74.5,,40.9,58.2,1.4,3.1,5.51,
2021-02-01 03:10:00+00:00,2.45,,7.98,1.6,,1.6,,,3.1,0.1,2.73,,262.5,262.5,,,110.0,20.0,282.0,,245.4,51.9,,27.8,45.2,0.9,3.26,3.35,
2021-02-01 03:15:00+00:00,2.5,,7.81,1.65,,1.65,,,3.15,0.2,2.73,,265.0,265.0,,,110.0,20.0,297.5,,248.8,69.0,,37.5,56.6,1.2,3.12,4.28,
2021-02-01 03:20:00+00:00,2.45,,7.8,1.65,,1.65,,,3.1,0.1,2.73,,270.0,270.0,,,110.0,20.0,304.6,,247.6,81.1,,44.5,63.8,1.4,3.19,5.71,
2021-02-01 03:25:00+00:00,2.45,,7.63,1.6,,1.6,,,3.15,0.15,2.73,,267.5,267.5,,,110.0,20.0,316.0,,248.4,96.1,,52.8,76.8,1.6,3.12,5.71,
2021-02-01 03:30:00+00:00,1.95,,4.76,1.75,,1.75,,,2.75,0.25,2.74,,552.5,552.5,,,110.0,20.0,408.0,,325.3,113.9,,58.5,127.6,1.2,2.44,1.51,
2021-02-01 03:35:00+00:00,2.4,,7.57,1.65,,1.65,,,3.05,0.1,2.75,,267.5,267.5,,,110.0,20.0,295.9,,249.1,66.7,,36.6,50.5,1.1,3.15,5.55,
2021-02-01 03:40:00+00:00,2.3,,7.45,1.65,,1.65,,,3.0,0.15,2.76,,270.0,270.0,,,110.0,20.0,290.8,,245.5,65.0,,36.0,52.0,1.0,3.24,5.03,
2021-02-01 03:45:00+00:00,2.25,,7.23,1.65,,1.65,,,2.95,0.15,2.78,,262.5,262.5,,,110.0,20.0,304.9,,242.5,89.1,,49.1,72.0,1.3,3.21,5.5,
2021-02-01 03:50:00+00:00,2.2,,7.27,1.65,,1.65,,,2.9,0.1,2.8,,262.5,262.5,,,110.0,20.0,280.4,,241.9,55.3,,30.5,43.0,0.8,3.31,5.18,
2021-02-01 03:55:00+00:00,2.15,,7.05,1.7,,1.7,,,2.75,0.1,2.83,,265.0,265.0,,,110.0,20.0,297.4,,240.7,81.1,,44.7,65.0,1.1,3.28,5.45,
2021-02-01 04:00:00+00:00,2.05,,7.01,1.6,,1.6,,,2.75,0.05,2.86,,257.5,257.5,,,110.0,20.0,267.3,,234.3,47.3,,26.0,35.8,0.6,3.42,5.55,
2021-02-01 04:05:00+00:00,2.05,,6.96,1.65,,1.65,,,2.75,0.1,2.9,,262.5,262.5,,,110.0,20.0,289.6,,234.3,79.4,,43.9,64.9,0.9,3.4,5.35,
2021-02-01 04:10:00+00:00,1.9,,6.78,1.65,,1.65,,,2.7,0.1,2.94,,260.0,260.0,,,110.0,20.0,252.6,,229.7,32.2,,17.2,32.8,0.3,3.57,2.09,
