Time,foF2,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,hF,hF2,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2023-03-01 00:00:00+00:00,3.36,10.27,1.78,,1.78,,,3.94,0.04,3.2,,300.0,300.0,,,110.0,20.0,319.8,285.8,49.1,25.0,53.6,1.5,3.06,1.54
2023-03-01 00:05:00+00:00,4.0,11.36,2.2,,2.2,,,4.5,,3.21,,317.5,317.5,,,110.0,20.0,346.8,303.4,62.9,31.7,67.1,2.7,2.84,1.62
2023-03-01 00:10:00+00:00,3.535,10.94,1.75,,1.75,,,4.08,0.04,3.22,,297.5,297.5,,,110.0,20.0,320.2,288.7,45.7,22.8,51.6,1.6,3.1,1.38
2023-03-01 00:15:00+00:00,3.745,11.19,1.89,,1.89,,,4.26,0.1,3.23,,300.0,300.0,,,110.0,20.0,327.9,290.9,53.6,27.2,57.3,2.1,2.99,1.62
2023-03-01 00:20:00+00:00,3.625,11.25,1.58,,1.58,,,4.15,0.08,3.23,,285.0,285.0,,,110.0,20.0,315.3,284.7,44.6,22.3,49.9,1.6,3.1,1.41
2023-03-01 00:25:00+00:00,4.165,11.85,1.78,,1.78,,,4.82,0.1,3.23,,287.5,287.5,,,110.0,20.0,339.6,292.9,67.3,34.5,66.6,3.2,2.85,2.06
2023-03-01 00:30:00+00:00,4.095,11.95,1.96,,1.96,,,4.82,0.14,3.23,,287.5,287.5,,,110.0,20.0,332.4,286.9,65.2,34.0,62.6,3.0,2.92,2.31
2023-03-01 00:35:00+00:00,4.15,12.34,2.05,,2.05,,,4.78,0.1,3.23,,282.5,282.5,,,110.0,20.0,321.2,283.2,54.8,28.0,55.7,2.6,2.97,1.9
2023-03-01 00:40:00+00:00,4.13,12.39,1.78,,1.78,,,4.78,0.1,3.22,,267.5,267.5,,,110.0,20.0,314.4,275.0,56.6,29.0,54.6,2.6,3.0,2.22
2023-03-01 00:45:00+00:00,4.2,12.49,1.82,,1.82,,,4.89,0.14,3.21,,262.5,262.5,,,110.0,20.0,315.2,273.0,60.3,31.1,56.6,2.9,2.97,2.44
2023-03-01 00:50:00+00:00,3.75,12.35,1.88,,1.88,,,4.15,0.05,3.2,,262.5,262.5,,,110.0,20.0,287.4,262.2,36.4,18.4,38.4,1.4,3.29,1.68
2023-03-01 00:55:00+00:00,4.095,12.52,1.54,,1.54,,,4.82,0.14,3.18,,250.0,250.0,,,110.0,20.0,305.1,260.6,63.4,32.9,58.2,2.9,3.06,2.66
2023-03-01 01:00:00+00:00,3.92,12.28,1.72,,1.72,,,4.71,0.21,3.17,,252.5,252.5,,,110.0,20.0,297.2,257.9,55.9,29.3,51.0,2.3,3.13,2.73
2023-03-01 01:05:00+00:00,3.625,11.93,1.92,,1.92,,,4.0,0.08,3.15,,257.5,257.5,,,110.0,20.0,283.0,255.7,39.1,20.1,39.2,1.4,3.29,1.98
