Time,foF2,MUFD,fmin,foEs,fminF,fminE,foE,fxI,FF,foF2p,minEs,fbEs,hF,hF2,hE,hEs,hmE,yE,hmF2,halfNm,yF2,caleF2,B0,TEC,MD,B1
2023-10-01 00:00:00+00:00,4.48,12.71,3.01,,3.01,,,5.09,0.07,3.38,,,367.5,367.5,,,110.0,20.0,356.1,313.8,62.2,30.6,68.7,3.4,2.84,1.46
2023-10-01 00:05:00+00:00,4.45,12.76,3.03,,3.03,,,5.0,0.03,3.39,,,367.5,367.5,,,110.0,20.0,351.6,310.9,59.9,29.3,66.3,3.2,2.87,1.45
2023-10-01 00:10:00+00:00,4.06,12.16,2.2,,2.2,,,4.68,0.07,3.41,,,337.5,337.5,,,110.0,20.0,342.0,308.9,49.1,24.0,58.7,2.2,3.0,1.18
2023-10-01 00:15:00+00:00,4.725,13.11,2.1,,2.1,,,5.34,0.07,3.41,,,332.5,332.5,,,110.0,20.0,370.3,320.4,72.8,37.4,76.5,4.5,2.77,1.7
2023-10-01 00:20:00+00:00,4.575,13.16,1.88,,1.88,,,5.13,0.03,3.42,,,325.0,325.0,,,110.0,20.0,354.0,317.3,54.6,26.9,63.5,3.1,2.88,1.24
2023-10-01 00:25:00+00:00,4.375,12.85,1.82,,1.82,,,4.92,0.04,3.42,,,320.0,320.0,,,110.0,20.0,345.9,311.2,51.4,25.6,59.5,2.7,2.94,1.24
2023-10-01 00:30:00+00:00,4.06,12.31,2.0,,2.0,,,4.71,0.1,3.42,,,322.5,322.5,,,110.0,20.0,333.5,301.2,47.8,23.7,56.1,2.2,3.03,1.24
2023-10-01 00:35:00+00:00,5.075,13.59,2.17,,2.17,,,5.7,0.08,3.41,,,325.0,325.0,,,110.0,20.0,374.9,323.8,74.8,37.8,78.9,5.2,2.68,1.65
2023-10-01 00:40:00+00:00,4.69,13.53,2.07,,2.07,,,5.24,0.04,3.4,,,320.0,320.0,,,110.0,20.0,349.5,310.4,57.6,29.0,63.7,3.5,2.89,1.43
2023-10-01 00:45:00+00:00,5.075,13.58,1.86,,1.86,,,5.76,0.07,3.39,,,312.5,312.5,,,110.0,20.0,369.8,317.2,76.6,39.1,78.2,5.4,2.68,1.85
2023-10-01 00:50:00+00:00,4.025,12.64,3.05,,3.05,,,4.72,0.03,3.37,,,342.5,342.5,,,110.0,20.0,311.7,280.8,45.0,22.2,49.0,2.0,3.14,1.52
2023-10-01 00:55:00+00:00,5.18,14.18,2.41,,2.41,,,5.83,0.1,3.35,,,322.5,322.5,,,110.0,20.0,362.0,313.7,70.6,35.8,73.4,5.1,2.74,1.72
2023-10-01 01:00:00+00:00,5.145,14.38,1.89,,1.89,,,5.8,0.1,3.33,,,307.5,307.5,,,110.0,20.0,354.6,309.8,65.5,33.2,68.6,4.7,2.79,1.68
